2026-02-14 12:45:08 | INFO | 🟡 WAIT       | BAJFINANCE      | ₹   1024.75 | EMAs converging, no breakout yet
2026-02-14 12:45:08 | INFO | 🟢 HOLD_ADD   | EICHERMOT       | ₹   8065.00 | Above all weekly EMAs
2026-02-14 12:45:08 | INFO | 🟡 WAIT       | HAL             | ₹   4212.40 | EMAs converging, no breakout yet
2026-02-14 12:45:08 | INFO | 🟢 HOLD_ADD   | SBILIFE         | ₹   2034.20 | Above all weekly EMAs
2026-02-14 12:45:08 | WARNING | ENRIN: Insufficient data for analysis
2026-02-14 12:45:09 | INFO | 🟢 HOLD_ADD   | SBIN            | ₹   1198.60 | Above all weekly EMAs
2026-02-14 12:45:09 | INFO | 🔴 EXIT       | CIPLA           | ₹   1331.50 | Below 40W EMA
2026-02-14 12:45:09 | INFO | 🔴 EXIT       | HAVELLS         | ₹   1404.00 | Below 40W EMA
2026-02-14 12:45:09 | INFO | 🟡 WAIT       | HYUNDAI         | ₹   2179.50 | EMAs converging, no breakout yet
2026-02-14 12:45:09 | INFO | 🟡 WAIT       | DIVISLAB        | ₹   6168.50 | EMAs converging, no breakout yet
2026-02-14 12:45:09 | INFO | 🔴 EXIT       | TECHM           | ₹   1534.40 | Below 40W EMA
2026-02-14 12:45:09 | INFO | 🟢 HOLD_ADD   | TORNTPHARM      | ₹   4078.00 | Above all weekly EMAs
2026-02-14 12:45:09 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7542.50 | EMAs converging, no breakout yet
2026-02-14 12:45:10 | INFO | 🟢 HOLD_ADD   | TVSMOTOR        | ₹   3864.60 | Above all weekly EMAs
2026-02-14 12:45:10 | INFO | 🟢 HOLD_ADD   | LT              | ₹   4173.90 | Above all weekly EMAs
2026-02-14 12:45:10 | INFO | ✅ BULLISH    | ABB             | ₹   5780.50 | Resistance breakout with EMAs converging
2026-02-14 12:45:10 | INFO | 🟡 WAIT       | ULTRACEMCO      | ₹  12963.00 | EMAs converging, no breakout yet
2026-02-14 12:45:10 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1268.10 | EMAs converging, no breakout yet
2026-02-14 12:45:10 | INFO | 🟡 WAIT       | BAJAJFINSV      | ₹   2023.20 | EMAs converging, no breakout yet
2026-02-14 12:45:10 | INFO | 🟢 HOLD_ADD   | AXISBANK        | ₹   1332.30 | Above all weekly EMAs
2026-02-14 12:45:10 | INFO | 🟢 HOLD_ADD   | CGPOWER         | ₹    680.15 | Above all weekly EMAs
2026-02-14 12:45:11 | INFO | 🟠 CAUTIOUS   | MARUTI          | ₹  15237.00 | Below 20W EMA
2026-02-14 12:45:11 | INFO | 🟢 HOLD_ADD   | IOC             | ₹    176.77 | Above all weekly EMAs
2026-02-14 12:45:11 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    696.80 | Broke support with EMAs converging
2026-02-14 12:45:11 | INFO | 🔴 EXIT       | TRENT           | ₹   4252.00 | Below 40W EMA
2026-02-14 12:45:11 | INFO | 🟡 WAIT       | ICICIGI         | ₹   1916.10 | EMAs converging, no breakout yet
2026-02-14 12:45:11 | INFO | 🟢 HOLD_ADD   | BPCL            | ₹    374.10 | Above all weekly EMAs
2026-02-14 12:45:11 | INFO | 🔴 EXIT       | SHREECEM        | ₹  26130.00 | Below 40W EMA
2026-02-14 12:45:11 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1697.50 | EMAs converging, no breakout yet
2026-02-14 12:45:12 | INFO | 🟢 HOLD_ADD   | BAJAJ-AUTO      | ₹   9760.00 | Above all weekly EMAs
2026-02-14 12:45:12 | INFO | 🟣 FADING     | BANKBARODA      | ₹    287.45 | Below 10W EMA - momentum fading
2026-02-14 12:45:12 | INFO | 🟡 WAIT       | ICICIBANK       | ₹   1414.60 | EMAs converging, no breakout yet
2026-02-14 12:45:12 | INFO | 🟡 WAIT       | KOTAKBANK       | ₹    420.65 | EMAs converging, no breakout yet
2026-02-14 12:45:12 | INFO | 🟡 WAIT       | GODREJCP        | ₹   1195.40 | EMAs converging, no breakout yet
2026-02-14 12:45:12 | INFO | 🔴 EXIT       | GAIL            | ₹    161.69 | Below 40W EMA
2026-02-14 12:45:12 | INFO | 🟠 CAUTIOUS   | BHARTIARTL      | ₹   2004.70 | Below 20W EMA
2026-02-14 12:45:12 | INFO | 🔴 EXIT       | INDIGO          | ₹   4929.20 | Below 40W EMA
2026-02-14 12:45:13 | INFO | 🔴 EXIT       | BAJAJHFL        | ₹     89.29 | Below 40W EMA
2026-02-14 12:45:13 | INFO | 🟡 WAIT       | SIEMENS         | ₹   3116.50 | EMAs converging, no breakout yet
2026-02-14 12:45:13 | INFO | ✅ BULLISH    | NTPC            | ₹    363.00 | Resistance breakout with EMAs converging
2026-02-14 12:45:13 | INFO | 🔴 EXIT       | ITC             | ₹    313.75 | Below 40W EMA
2026-02-14 12:45:13 | INFO | 🟡 WAIT       | UNITDSPR        | ₹   1402.40 | EMAs converging, no breakout yet
2026-02-14 12:45:13 | INFO | 🔴 EXIT       | INFY            | ₹   1369.10 | Broke support with EMAs converging
2026-02-14 12:45:13 | INFO | 🟡 WAIT       | HCLTECH         | ₹   1455.20 | EMAs converging, no breakout yet
2026-02-14 12:45:13 | INFO | 🔴 EXIT       | NAUKRI          | ₹   1141.10 | Below 40W EMA
2026-02-14 12:45:14 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹   1053.60 | Below 40W EMA
2026-02-14 12:45:14 | INFO | 🟢 HOLD_ADD   | MOTHERSON       | ₹    131.26 | Above all weekly EMAs
2026-02-14 12:45:14 | INFO | 🔴 EXIT       | RECLTD          | ₹    346.90 | Below 40W EMA
2026-02-14 12:45:14 | INFO | 🔴 EXIT       | LODHA           | ₹   1073.60 | Below 40W EMA
2026-02-14 12:45:14 | INFO | 🟡 WAIT       | PIDILITIND      | ₹   1479.30 | EMAs converging, no breakout yet
2026-02-14 12:45:14 | INFO | 🔴 EXIT       | JIOFIN          | ₹    263.95 | Below 40W EMA
2026-02-14 12:45:14 | INFO | 🔴 EXIT       | BAJAJHLDNG      | ₹  10881.00 | Below 40W EMA
2026-02-14 12:45:14 | WARNING | TMPV: Insufficient data for analysis
2026-02-14 12:45:15 | INFO | 🟢 HOLD_ADD   | CHOLAFIN        | ₹   1709.40 | Above all weekly EMAs
2026-02-14 12:45:15 | INFO | 🟢 HOLD_ADD   | JSWSTEEL        | ₹   1232.00 | Above all weekly EMAs
2026-02-14 12:45:15 | INFO | 🔴 EXIT       | ZYDUSLIFE       | ₹    904.70 | Below 40W EMA
2026-02-14 12:45:15 | INFO | 🔴 EXIT       | VBL             | ₹    449.30 | Below 40W EMA
2026-02-14 12:45:15 | INFO | 🔴 EXIT       | TATAPOWER       | ₹    374.10 | Below 40W EMA
2026-02-14 12:45:15 | INFO | 🟡 WAIT       | GRASIM          | ₹   2888.00 | EMAs converging, no breakout yet
2026-02-14 12:45:15 | INFO | 🟢 HOLD_ADD   | JINDALSTEL      | ₹   1184.70 | Above all weekly EMAs
2026-02-14 12:45:15 | INFO | 🟡 WAIT       | TATACONSUM      | ₹   1132.20 | EMAs converging, no breakout yet
2026-02-14 12:45:16 | INFO | 🟠 CAUTIOUS   | M&M             | ₹   3533.40 | Below 20W EMA
2026-02-14 12:45:16 | INFO | 🔴 EXIT       | LTIM            | ₹   5115.50 | Below 40W EMA
2026-02-14 12:45:16 | INFO | 🔴 EXIT       | JSWENERGY       | ₹    474.70 | Below 40W EMA
2026-02-14 12:45:16 | INFO | 🟢 HOLD_ADD   | SHRIRAMFIN      | ₹   1065.80 | Above all weekly EMAs
2026-02-14 12:45:16 | INFO | 🟡 WAIT       | ASIANPAINT      | ₹   2366.40 | EMAs converging, no breakout yet
2026-02-14 12:45:16 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    903.90 | Broke support with EMAs converging
2026-02-14 12:45:16 | INFO | 🔴 EXIT       | DMART           | ₹   3909.20 | Below 40W EMA
2026-02-14 12:45:16 | INFO | 🔴 EXIT       | IRFC            | ₹    111.44 | Below 40W EMA
2026-02-14 12:45:16 | INFO | 🟠 CAUTIOUS   | PNB             | ₹    118.76 | Below 20W EMA
2026-02-14 12:45:17 | INFO | 🔴 EXIT       | TCS             | ₹   2692.20 | Below 40W EMA
2026-02-14 12:45:17 | INFO | 🟢 HOLD_ADD   | BEL             | ₹    435.55 | Above all weekly EMAs
2026-02-14 12:45:17 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    699.90 | Below 40W EMA
2026-02-14 12:45:17 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1419.60 | EMAs converging, no breakout yet
2026-02-14 12:45:17 | INFO | 🟢 HOLD_ADD   | NESTLEIND       | ₹   1282.60 | Above all weekly EMAs
2026-02-14 12:45:17 | INFO | 🔴 EXIT       | WIPRO           | ₹    214.09 | Broke support with EMAs converging
2026-02-14 12:45:17 | INFO | 🟡 WAIT       | BRITANNIA       | ₹   5980.50 | EMAs converging, no breakout yet
2026-02-14 12:45:18 | INFO | 🟡 WAIT       | LICI            | ₹    862.40 | EMAs converging, no breakout yet
2026-02-14 12:45:18 | INFO | 🟣 FADING     | CANBK           | ₹    141.77 | Below 10W EMA - momentum fading
2026-02-14 12:45:18 | INFO | 🟡 WAIT       | BOSCHLTD        | ₹  35695.00 | EMAs converging, no breakout yet
2026-02-14 12:45:18 | INFO | 🟡 WAIT       | POWERGRID       | ₹    287.20 | EMAs converging, no breakout yet
2026-02-14 12:45:18 | INFO | 🟢 HOLD_ADD   | ADANIPORTS      | ₹   1519.00 | Above all weekly EMAs
2026-02-14 12:45:18 | INFO | 🟣 FADING     | COALINDIA       | ₹    408.95 | Below 10W EMA - momentum fading
2026-02-14 12:45:18 | INFO | 🟢 HOLD_ADD   | TITAN           | ₹   4179.20 | Above all weekly EMAs
2026-02-14 12:45:18 | INFO | 🟢 HOLD_ADD   | TATASTEEL       | ₹    203.18 | Above all weekly EMAs
2026-02-14 12:45:18 | INFO | 🟡 WAIT       | PFC             | ₹    400.55 | EMAs converging, no breakout yet
2026-02-14 12:45:19 | INFO | 🔴 EXIT       | MAZDOCK         | ₹   2350.20 | Below 40W EMA
2026-02-14 12:45:19 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    519.45 | Below 40W EMA
2026-02-14 12:45:19 | INFO | 🟡 WAIT       | SOLARINDS       | ₹  13043.00 | EMAs converging, no breakout yet
2026-02-14 12:45:19 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    267.40 | Above all weekly EMAs
2026-02-14 12:45:19 | INFO | 🔴 EXIT       | DLF             | ₹    626.40 | Below 40W EMA
2026-02-14 12:45:19 | INFO | 🔴 EXIT       | ADANIENT        | ₹   2136.60 | Below 40W EMA
2026-02-14 12:45:19 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹    988.00 | Above all weekly EMAs
2026-02-14 12:45:20 | INFO | 🟢 HOLD_ADD   | VEDL            | ₹    673.65 | Above all weekly EMAs
2026-02-14 12:45:20 | INFO | 🟡 WAIT       | ETERNAL         | ₹    285.20 | EMAs converging, no breakout yet
2026-02-14 12:45:20 | INFO | 🟡 WAIT       | HINDUNILVR      | ₹   2305.20 | EMAs converging, no breakout yet
2026-02-14 12:45:20 | INFO | 🔴 EXIT       | ADANIGREEN      | ₹    950.50 | Below 40W EMA
2026-02-14 12:45:20 | INFO | 🟣 FADING     | HINDZINC        | ₹    592.85 | Below 10W EMA - momentum fading
2026-02-14 12:45:20 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹    909.00 | Above all weekly EMAs
2026-02-14 12:45:20 | INFO | 🟠 CAUTIOUS   | ADANIPOWER      | ₹    139.90 | Below 20W EMA
2026-02-14 12:45:20 | INFO | ✅ BULLISH    | LINDEINDIA      | ₹   6900.00 | Resistance breakout with EMAs converging
2026-02-14 12:45:20 | INFO | 🔴 EXIT       | HEXT            | ₹    561.60 | Below 40W EMA
2026-02-14 12:45:21 | INFO | 🔴 EXIT       | KPRMILL         | ₹    930.50 | Below 40W EMA
2026-02-14 12:45:21 | INFO | 🔴 EXIT       | THERMAX         | ₹   2886.70 | Below 40W EMA
2026-02-14 12:45:21 | INFO | 🟢 HOLD_ADD   | AJANTPHARM      | ₹   2920.10 | Above all weekly EMAs
2026-02-14 12:45:21 | INFO | 🟢 HOLD_ADD   | MFSL            | ₹   1824.90 | Above all weekly EMAs
2026-02-14 12:45:21 | INFO | 🟡 WAIT       | BLUESTARCO      | ₹   1997.20 | EMAs converging, no breakout yet
2026-02-14 12:45:21 | INFO | 🟡 WAIT       | BIOCON          | ₹    377.95 | EMAs converging, no breakout yet
2026-02-14 12:45:21 | INFO | 🟡 WAIT       | COROMANDEL      | ₹   2279.50 | EMAs converging, no breakout yet
2026-02-14 12:45:21 | INFO | 🟢 HOLD_ADD   | IDBI            | ₹    110.75 | Above all weekly EMAs
2026-02-14 12:45:22 | INFO | ✅ BULLISH    | ASTRAL          | ₹   1596.50 | Resistance breakout with EMAs converging
2026-02-14 12:45:22 | INFO | ✅ BULLISH    | TORNTPOWER      | ₹   1462.60 | Resistance breakout with EMAs converging
2026-02-14 12:45:22 | INFO | 🟢 HOLD_ADD   | BHARATFORG      | ₹   1738.80 | Above all weekly EMAs
2026-02-14 12:45:22 | INFO | 🔴 EXIT       | PERSISTENT      | ₹   5479.00 | Below 40W EMA
2026-02-14 12:45:22 | INFO | 🟢 HOLD_ADD   | INDUSINDBK      | ₹    926.05 | Above all weekly EMAs
2026-02-14 12:45:22 | INFO | 🔴 EXIT       | FLUOROCHEM      | ₹   3398.00 | Below 40W EMA
2026-02-14 12:45:22 | INFO | 🔴 EXIT       | UBL             | ₹   1628.80 | Below 40W EMA
2026-02-14 12:45:22 | INFO | 🟢 HOLD_ADD   | FEDERALBNK      | ₹    288.30 | Above all weekly EMAs
2026-02-14 12:45:22 | INFO | 🟡 WAIT       | GUJGASLTD       | ₹    424.40 | EMAs converging, no breakout yet
2026-02-14 12:45:22 | INFO | 🟡 WAIT       | ICICIPRULI      | ₹    643.65 | EMAs converging, no breakout yet
2026-02-14 12:45:23 | INFO | 🟡 WAIT       | IPCALAB         | ₹   1485.40 | EMAs converging, no breakout yet
2026-02-14 12:45:23 | INFO | 🔴 EXIT       | NTPCGREEN       | ₹     89.01 | Below 40W EMA
2026-02-14 12:45:23 | INFO | 🔴 EXIT       | BERGEPAINT      | ₹    462.00 | Below 40W EMA
2026-02-14 12:45:23 | INFO | 🟡 WAIT       | AUROPHARMA      | ₹   1145.60 | EMAs converging, no breakout yet
2026-02-14 12:45:23 | INFO | 🔴 EXIT       | PGHH            | ₹  11694.00 | Below 40W EMA
2026-02-14 12:45:23 | INFO | 🟣 FADING     | HINDPETRO       | ₹    450.20 | Below 10W EMA - momentum fading
2026-02-14 12:45:23 | INFO | 🟡 WAIT       | SRF             | ₹   2833.40 | EMAs converging, no breakout yet
2026-02-14 12:45:24 | INFO | 🟡 WAIT       | HDFCAMC         | ₹   2813.20 | EMAs converging, no breakout yet
2026-02-14 12:45:24 | INFO | 🟢 HOLD_ADD   | UNOMINDA        | ₹   1244.00 | Above all weekly EMAs
2026-02-14 12:45:24 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   4412.40 | Above all weekly EMAs
2026-02-14 12:45:24 | INFO | 🟡 WAIT       | SCHAEFFLER      | ₹   3772.10 | EMAs converging, no breakout yet
2026-02-14 12:45:24 | INFO | 🟡 WAIT       | NLCINDIA        | ₹    259.30 | EMAs converging, no breakout yet
2026-02-14 12:45:24 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2458.40 | Broke support with EMAs converging
2026-02-14 12:45:25 | INFO | 🟢 HOLD_ADD   | KEI             | ₹   4566.80 | Above all weekly EMAs
2026-02-14 12:45:25 | INFO | 🟢 HOLD_ADD   | MAHABANK        | ₹     65.44 | Above all weekly EMAs
2026-02-14 12:45:25 | INFO | 🔴 EXIT       | ABBOTINDIA      | ₹  26460.00 | Below 40W EMA
2026-02-14 12:45:25 | INFO | 🔴 EXIT       | IOB             | ₹     34.83 | Below 40W EMA
2026-02-14 12:45:25 | INFO | 🔴 EXIT       | SWIGGY          | ₹    337.65 | Below 40W EMA
2026-02-14 12:45:25 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹    994.90 | Above all weekly EMAs
2026-02-14 12:45:25 | INFO | 🔴 EXIT       | MEDANTA         | ₹   1139.10 | Below 40W EMA
2026-02-14 12:45:25 | INFO | 🟢 HOLD_ADD   | LUPIN           | ₹   2199.30 | Above all weekly EMAs
2026-02-14 12:45:25 | INFO | 🟡 WAIT       | MRF             | ₹ 150105.00 | EMAs converging, no breakout yet
2026-02-14 12:45:26 | INFO | 🟢 HOLD_ADD   | SAIL            | ₹    159.28 | Above all weekly EMAs
2026-02-14 12:45:26 | INFO | 🟣 FADING     | IDFCFIRSTB      | ₹     81.54 | Below 10W EMA - momentum fading
2026-02-14 12:45:26 | INFO | 🔴 EXIT       | MANKIND         | ₹   2060.50 | Below 40W EMA
2026-02-14 12:45:26 | INFO | 🟢 HOLD_ADD   | INDIANB         | ₹    873.70 | Above all weekly EMAs
2026-02-14 12:45:26 | INFO | 🔴 EXIT       | EXIDEIND        | ₹    336.80 | Below 40W EMA
2026-02-14 12:45:26 | INFO | ✅ BULLISH    | VOLTAS          | ₹   1525.40 | Resistance breakout with EMAs converging
2026-02-14 12:45:26 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1806.60 | Below 40W EMA
2026-02-14 12:45:26 | INFO | 🟡 WAIT       | SONACOMS        | ₹    527.95 | EMAs converging, no breakout yet
2026-02-14 12:45:27 | INFO | 🟡 WAIT       | GICRE           | ₹    390.60 | EMAs converging, no breakout yet
2026-02-14 12:45:27 | INFO | 🟢 HOLD_ADD   | APLAPOLLO       | ₹   2245.90 | Above all weekly EMAs
2026-02-14 12:45:27 | INFO | 🟢 HOLD_ADD   | FORTIS          | ₹    916.75 | Above all weekly EMAs
2026-02-14 12:45:27 | INFO | 🔴 EXIT       | COLPAL          | ₹   2122.20 | Below 40W EMA
2026-02-14 12:45:27 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  22418.00 | Above all weekly EMAs
2026-02-14 12:45:27 | INFO | 🟡 WAIT       | APARINDS        | ₹   9511.00 | EMAs converging, no breakout yet
2026-02-14 12:45:27 | INFO | 🔴 EXIT       | IRCTC           | ₹    617.50 | Below 40W EMA
2026-02-14 12:45:27 | INFO | 🔴 EXIT       | IRB             | ₹     44.02 | Below 40W EMA
2026-02-14 12:45:27 | INFO | 🔴 EXIT       | IREDA           | ₹    123.56 | Below 40W EMA
2026-02-14 12:45:28 | INFO | 🟡 WAIT       | YESBANK         | ₹     20.86 | EMAs converging, no breakout yet
2026-02-14 12:45:28 | INFO | 🟡 WAIT       | DALBHARAT       | ₹   2140.30 | EMAs converging, no breakout yet
2026-02-14 12:45:28 | INFO | 🟢 HOLD_ADD   | UNIONBANK       | ₹    178.87 | Above all weekly EMAs
2026-02-14 12:45:28 | INFO | 🟡 WAIT       | BHARTIHEXA      | ₹   1668.70 | EMAs converging, no breakout yet
2026-02-14 12:45:28 | INFO | 🟢 HOLD_ADD   | MARICO          | ₹    760.15 | Above all weekly EMAs
2026-02-14 12:45:28 | INFO | 🔴 EXIT       | OBEROIRLTY      | ₹   1547.60 | Below 40W EMA
2026-02-14 12:45:28 | INFO | 🔴 EXIT       | DEEPAKNTR       | ₹   1641.80 | Below 40W EMA
2026-02-14 12:45:28 | INFO | 🔴 EXIT       | JUBLFOOD        | ₹    533.10 | Below 40W EMA
2026-02-14 12:45:29 | INFO | 🔴 EXIT       | PAGEIND         | ₹  33530.00 | Below 40W EMA
2026-02-14 12:45:29 | INFO | 🔴 EXIT       | NHPC            | ₹     75.47 | Below 40W EMA
2026-02-14 12:45:29 | INFO | 🔴 EXIT       | HONAUT          | ₹  31375.00 | Below 40W EMA
2026-02-14 12:45:29 | INFO | 🔴 EXIT       | RVNL            | ₹    308.95 | Below 40W EMA
2026-02-14 12:45:29 | INFO | 🟡 WAIT       | ESCORTS         | ₹   3586.60 | EMAs converging, no breakout yet
2026-02-14 12:45:29 | INFO | 🔴 EXIT       | TIINDIA         | ₹   2498.60 | Below 40W EMA
2026-02-14 12:45:29 | INFO | 🟣 FADING     | 360ONE          | ₹   1126.80 | Below 10W EMA - momentum fading
2026-02-14 12:45:29 | INFO | 🔴 EXIT       | SBICARD         | ₹    760.70 | Below 40W EMA
