2026-02-28 01:15:08 | INFO | Fetching NIFTY 100 stocks from NSE API
2026-02-28 01:15:08 | INFO | NSE fetch start for NIFTY 100
2026-02-28 01:15:08 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 100
2026-02-28 01:15:10 | INFO | NSE fetch success for NIFTY 100: 100 symbols
2026-02-28 01:15:10 | INFO | NIFTY 100 source: NSE live list (100 stocks)
2026-02-28 01:15:10 | INFO | Fetching NIFTY MIDCAP 150 stocks from NSE API
2026-02-28 01:15:10 | INFO | NSE fetch start for NIFTY MIDCAP 150
2026-02-28 01:15:10 | WARNING | NSE homepage cookie request returned status 403 for NIFTY MIDCAP 150
2026-02-28 01:15:11 | INFO | NSE fetch success for NIFTY MIDCAP 150: 150 symbols
2026-02-28 01:15:11 | INFO | NIFTY MIDCAP 150 source: NSE live list (150 stocks)
2026-02-28 01:15:14 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    887.75 | Broke support with EMAs converging
2026-02-28 01:15:16 | INFO | 🔴 EXIT       | INFY            | ₹   1300.10 | Below 40W EMA
2026-02-28 01:15:18 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1879.30 | EMAs converging, no breakout yet
2026-02-28 01:15:20 | INFO | 🟡 WAIT       | ICICIBANK       | ₹   1378.90 | EMAs converging, no breakout yet
2026-02-28 01:15:22 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1393.90 | EMAs converging, no breakout yet
2026-02-28 01:15:24 | INFO | 🔴 EXIT       | ETERNAL         | ₹    246.30 | Below 40W EMA
2026-02-28 01:15:27 | INFO | 🔴 EXIT       | TCS             | ₹   2637.40 | Below 40W EMA
2026-02-28 01:15:29 | INFO | 🟢 HOLD_ADD   | SBIN            | ₹   1201.70 | Above all weekly EMAs
2026-02-28 01:15:31 | INFO | 🔴 EXIT       | M&M             | ₹   3397.40 | Below 40W EMA
2026-02-28 01:15:33 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1389.10 | Broke support with EMAs converging
2026-02-28 01:15:35 | INFO | 🟢 HOLD_ADD   | BEL             | ₹    444.70 | Above all weekly EMAs
2026-02-28 01:15:37 | INFO | 🟢 HOLD_ADD   | LT              | ₹   4278.30 | Above all weekly EMAs
2026-02-28 01:15:40 | INFO | 🟢 HOLD_ADD   | VEDL            | ₹    718.40 | Above all weekly EMAs
2026-02-28 01:15:42 | INFO | 🔴 EXIT       | HAL             | ₹   3913.20 | Below 40W EMA
2026-02-28 01:15:44 | INFO | 🟢 HOLD_ADD   | BAJFINANCE      | ₹    995.90 | Above all weekly EMAs
2026-02-28 01:15:46 | INFO | 🟢 HOLD_ADD   | AXISBANK        | ₹   1383.90 | Above all weekly EMAs
2026-02-28 01:15:48 | INFO | 🟡 WAIT       | KOTAKBANK       | ₹    415.20 | EMAs converging, no breakout yet
2026-02-28 01:15:50 | INFO | 🟡 WAIT       | HINDUNILVR      | ₹   2338.10 | EMAs converging, no breakout yet
2026-02-28 01:15:53 | INFO | 🟠 CAUTIOUS   | MARUTI          | ₹  14857.00 | Below 20W EMA
2026-02-28 01:15:55 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹   1091.95 | Below 40W EMA
2026-02-28 01:15:57 | INFO | ✅ BULLISH    | POWERGRID       | ₹    298.65 | Resistance breakout with EMAs converging
2026-02-28 01:15:59 | INFO | 🟢 HOLD_ADD   | EICHERMOT       | ₹   8010.50 | Above all weekly EMAs
2026-02-28 01:16:01 | WARNING | TMPV: Insufficient data for analysis
2026-02-28 01:16:03 | INFO | 🟢 HOLD_ADD   | SHRIRAMFIN      | ₹   1079.40 | Above all weekly EMAs
2026-02-28 01:16:06 | INFO | 🟡 WAIT       | ASIANPAINT      | ₹   2376.20 | EMAs converging, no breakout yet
2026-02-28 01:16:08 | INFO | 🔴 EXIT       | INDIGO          | ₹   4827.20 | Below 40W EMA
2026-02-28 01:16:10 | INFO | 🟢 HOLD_ADD   | TVSMOTOR        | ₹   3869.70 | Above all weekly EMAs
2026-02-28 01:16:12 | INFO | 🟢 HOLD_ADD   | TATASTEEL       | ₹    212.33 | Above all weekly EMAs
2026-02-28 01:16:14 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7821.50 | EMAs converging, no breakout yet
2026-02-28 01:16:16 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1737.00 | EMAs converging, no breakout yet
2026-02-28 01:16:19 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    279.70 | Above all weekly EMAs
2026-02-28 01:16:21 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹    924.70 | Above all weekly EMAs
2026-02-28 01:16:23 | INFO | 🟢 HOLD_ADD   | TITAN           | ₹   4327.50 | Above all weekly EMAs
2026-02-28 01:16:25 | INFO | 🟢 HOLD_ADD   | BANKBARODA      | ₹    321.95 | Above all weekly EMAs
2026-02-28 01:16:27 | INFO | 🟢 HOLD_ADD   | IOC             | ₹    187.47 | Above all weekly EMAs
2026-02-28 01:16:29 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1286.30 | EMAs converging, no breakout yet
2026-02-28 01:16:32 | INFO | 🟢 HOLD_ADD   | NTPC            | ₹    381.90 | Above all weekly EMAs
2026-02-28 01:16:34 | INFO | 🔴 EXIT       | ITC             | ₹    313.60 | Below 40W EMA
2026-02-28 01:16:36 | INFO | 🔴 EXIT       | TRENT           | ₹   3899.50 | Below 40W EMA
2026-02-28 01:16:38 | INFO | 🟢 HOLD_ADD   | CANBK           | ₹    157.37 | Above all weekly EMAs
2026-02-28 01:16:40 | INFO | 🟡 WAIT       | ABB             | ₹   6073.00 | EMAs converging, no breakout yet
2026-02-28 01:16:42 | INFO | 🔴 EXIT       | TECHM           | ₹   1357.80 | Broke support with EMAs converging
2026-02-28 01:16:45 | INFO | 🔴 EXIT       | CIPLA           | ₹   1348.20 | Below 40W EMA
2026-02-28 01:16:47 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    430.65 | Above all weekly EMAs
2026-02-28 01:16:49 | INFO | 🟢 HOLD_ADD   | BPCL            | ₹    385.40 | Above all weekly EMAs
2026-02-28 01:16:51 | INFO | 🟢 HOLD_ADD   | ULTRACEMCO      | ₹  12677.00 | Above all weekly EMAs
2026-02-28 01:16:53 | INFO | 🔴 EXIT       | JIOFIN          | ₹    255.40 | Below 40W EMA
2026-02-28 01:16:55 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    667.05 | Below 40W EMA
2026-02-28 01:16:58 | INFO | 🟡 WAIT       | GRASIM          | ₹   2799.80 | EMAs converging, no breakout yet
2026-02-28 01:17:00 | INFO | 🟢 HOLD_ADD   | CHOLAFIN        | ₹   1730.80 | Above all weekly EMAs
2026-02-28 01:17:02 | INFO | 🔴 EXIT       | ADANIENT        | ₹   2161.80 | Below 40W EMA
2026-02-28 01:17:04 | INFO | 🟢 HOLD_ADD   | MOTHERSON       | ₹    133.34 | Above all weekly EMAs
2026-02-28 01:17:06 | INFO | 🟡 WAIT       | DIVISLAB        | ₹   6408.50 | EMAs converging, no breakout yet
2026-02-28 01:17:08 | INFO | 🟢 HOLD_ADD   | GAIL            | ₹    169.53 | Above all weekly EMAs
2026-02-28 01:17:11 | INFO | ✅ BULLISH    | SIEMENS         | ₹   3418.60 | Resistance breakout with EMAs converging
2026-02-28 01:17:13 | INFO | 🟡 WAIT       | PFC             | ₹    413.80 | EMAs converging, no breakout yet
2026-02-28 01:17:15 | INFO | 🟢 HOLD_ADD   | HINDZINC        | ₹    603.80 | Above all weekly EMAs
2026-02-28 01:17:17 | INFO | 🟢 HOLD_ADD   | SBILIFE         | ₹   2037.20 | Above all weekly EMAs
2026-02-28 01:17:19 | INFO | 🔴 EXIT       | WIPRO           | ₹    200.96 | Below 40W EMA
2026-02-28 01:17:21 | INFO | 🟡 WAIT       | BAJAJFINSV      | ₹   1993.40 | EMAs converging, no breakout yet
