2026-03-07 01:18:07 | INFO | Fetching NIFTY 100 stocks from NSE API
2026-03-07 01:18:07 | INFO | NSE fetch start for NIFTY 100
2026-03-07 01:18:07 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 100
2026-03-07 01:18:08 | INFO | NSE fetch success for NIFTY 100: 100 symbols
2026-03-07 01:18:08 | INFO | NIFTY 100 source: NSE live list (100 stocks)
2026-03-07 01:18:08 | INFO | Fetching NIFTY MIDCAP 150 stocks from NSE API
2026-03-07 01:18:08 | INFO | NSE fetch start for NIFTY MIDCAP 150
2026-03-07 01:18:08 | WARNING | NSE homepage cookie request returned status 403 for NIFTY MIDCAP 150
2026-03-07 01:18:10 | INFO | NSE fetch success for NIFTY MIDCAP 150: 150 symbols
2026-03-07 01:18:10 | INFO | NIFTY MIDCAP 150 source: NSE live list (150 stocks)
2026-03-07 01:18:12 | INFO | 🔴 EXIT       | MAZDOCK         | ₹   2471.90 | Below 40W EMA
2026-03-07 01:18:14 | INFO | 🔴 EXIT       | ICICIBANK       | ₹   1313.40 | Broke support with EMAs converging
2026-03-07 01:18:17 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    857.05 | Broke support with EMAs converging
2026-03-07 01:18:19 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1404.80 | EMAs converging, no breakout yet
2026-03-07 01:18:21 | INFO | 🟢 HOLD_ADD   | SBIN            | ₹   1143.00 | Above all weekly EMAs
2026-03-07 01:18:23 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1870.80 | EMAs converging, no breakout yet
2026-03-07 01:18:25 | INFO | 🟣 FADING     | AXISBANK        | ₹   1315.80 | Below 10W EMA - momentum fading
2026-03-07 01:18:28 | INFO | 🟢 HOLD_ADD   | BEL             | ₹    468.45 | Above all weekly EMAs
2026-03-07 01:18:30 | INFO | 🔴 EXIT       | HAL             | ₹   4023.70 | Below 40W EMA
2026-03-07 01:18:32 | INFO | 🔴 EXIT       | INFY            | ₹   1308.40 | Below 40W EMA
2026-03-07 01:18:34 | INFO | 🔴 EXIT       | ETERNAL         | ₹    232.57 | Below 40W EMA
2026-03-07 01:18:36 | INFO | 🔴 EXIT       | TCS             | ₹   2557.60 | Below 40W EMA
2026-03-07 01:18:38 | INFO | 🟢 HOLD_ADD   | VEDL            | ₹    721.00 | Above all weekly EMAs
2026-03-07 01:18:41 | INFO | 🟠 CAUTIOUS   | LT              | ₹   3949.80 | Below 20W EMA
2026-03-07 01:18:43 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    278.95 | Above all weekly EMAs
2026-03-07 01:18:45 | INFO | 🟢 HOLD_ADD   | SHRIRAMFIN      | ₹   1007.50 | Above all weekly EMAs
2026-03-07 01:18:47 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹    958.90 | Above all weekly EMAs
2026-03-07 01:18:49 | INFO | 🟡 WAIT       | UNITDSPR        | ₹   1389.80 | EMAs converging, no breakout yet
2026-03-07 01:18:51 | INFO | 🔴 EXIT       | INDIGO          | ₹   4404.10 | Below 40W EMA
2026-03-07 01:18:54 | INFO | 🔴 EXIT       | KOTAKBANK       | ₹    399.80 | Broke support with EMAs converging
2026-03-07 01:18:56 | INFO | 🟡 WAIT       | M&M             | ₹   3332.50 | EMAs converging, no breakout yet
2026-03-07 01:18:58 | INFO | 🔴 EXIT       | ITC             | ₹    309.70 | Below 40W EMA
2026-03-07 01:19:00 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1799.40 | EMAs converging, no breakout yet
2026-03-07 01:19:02 | INFO | 🟡 WAIT       | BAJFINANCE      | ₹    950.20 | EMAs converging, no breakout yet
