2026-03-14 01:21:20 | INFO | Fetching NIFTY 100 stocks from NSE API
2026-03-14 01:21:20 | INFO | NSE fetch start for NIFTY 100
2026-03-14 01:21:20 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 100
2026-03-14 01:21:22 | INFO | NSE fetch success for NIFTY 100: 100 symbols
2026-03-14 01:21:22 | INFO | NIFTY 100 source: NSE live list (100 stocks)
2026-03-14 01:21:22 | INFO | Fetching NIFTY MIDCAP 150 stocks from NSE API
2026-03-14 01:21:22 | INFO | NSE fetch start for NIFTY MIDCAP 150
2026-03-14 01:21:22 | WARNING | NSE homepage cookie request returned status 403 for NIFTY MIDCAP 150
2026-03-14 01:21:33 | WARNING | NSE fetch exception for NIFTY MIDCAP 150: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=10)
2026-03-14 01:21:33 | WARNING | NIFTY MIDCAP 150 source: hardcoded fallback list (150 stocks)
2026-03-14 01:21:36 | INFO | 🔴 EXIT       | LT              | ₹   3439.00 | Broke support with EMAs converging
2026-03-14 01:21:38 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    817.00 | Below 40W EMA
2026-03-14 01:21:41 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1380.70 | EMAs converging, no breakout yet
2026-03-14 01:21:43 | INFO | 🔴 EXIT       | ICICIBANK       | ₹   1254.80 | Broke support with EMAs converging
2026-03-14 01:21:45 | INFO | 🔴 EXIT       | M&M             | ₹   2931.10 | Broke support with EMAs converging
2026-03-14 01:21:47 | INFO | 🟣 FADING     | SBIN            | ₹   1047.00 | Below 10W EMA - momentum fading
2026-03-14 01:21:49 | INFO | 🔴 EXIT       | BHARTIARTL      | ₹   1803.40 | Broke support with EMAs converging
2026-03-14 01:21:52 | INFO | 🔴 EXIT       | ETERNAL         | ₹    215.68 | Below 40W EMA
2026-03-14 01:21:54 | INFO | 🟡 WAIT       | MARUTI          | ₹  12591.00 | EMAs converging, no breakout yet
2026-03-14 01:21:56 | INFO | 🔴 EXIT       | KOTAKBANK       | ₹    366.85 | Broke support with EMAs converging
2026-03-14 01:21:58 | INFO | 🔴 EXIT       | AXISBANK        | ₹   1197.30 | Below 40W EMA
2026-03-14 01:22:00 | INFO | 🟢 HOLD_ADD   | VEDL            | ₹    689.55 | Above all weekly EMAs
2026-03-14 01:22:03 | INFO | 🟢 HOLD_ADD   | NTPC            | ₹    384.45 | Above all weekly EMAs
2026-03-14 01:22:05 | INFO | 🟣 FADING     | HINDALCO        | ₹    910.05 | Below 10W EMA - momentum fading
2026-03-14 01:22:07 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    467.00 | Above all weekly EMAs
2026-03-14 01:22:09 | INFO | 🔴 EXIT       | INFY            | ₹   1248.30 | Below 40W EMA
2026-03-14 01:22:12 | INFO | 🟢 HOLD_ADD   | BEL             | ₹    439.40 | Above all weekly EMAs
2026-03-14 01:22:14 | INFO | 🔴 EXIT       | HAL             | ₹   3914.40 | Below 40W EMA
2026-03-14 01:22:16 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    146.57 | Above all weekly EMAs
2026-03-14 01:22:18 | INFO | 🟠 CAUTIOUS   | TATASTEEL       | ₹    183.51 | Below 20W EMA
2026-03-14 01:22:20 | INFO | 🔴 EXIT       | ITC             | ₹    301.45 | Below 40W EMA
2026-03-14 01:22:23 | INFO | 🔴 EXIT       | ULTRACEMCO      | ₹  10616.00 | Broke support with EMAs converging
2026-03-14 01:22:25 | INFO | 🔴 EXIT       | INDIGO          | ₹   4158.20 | Below 40W EMA
2026-03-14 01:22:27 | INFO | 🟡 WAIT       | POWERGRID       | ₹    300.95 | EMAs converging, no breakout yet
2026-03-14 01:22:29 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   6392.50 | Above all weekly EMAs
2026-03-14 01:22:31 | INFO | 🟣 FADING     | SHRIRAMFIN      | ₹   1003.60 | Below 10W EMA - momentum fading
2026-03-14 01:22:33 | INFO | 🔴 EXIT       | TCS             | ₹   2410.50 | Below 40W EMA
2026-03-14 01:22:36 | INFO | 🔴 EXIT       | ADANIGREEN      | ₹    861.35 | Below 40W EMA
2026-03-14 01:22:38 | INFO | 🔴 EXIT       | BAJFINANCE      | ₹    855.05 | Broke support with EMAs converging
2026-03-14 01:22:40 | INFO | 🔴 EXIT       | EICHERMOT       | ₹   6741.00 | Below 40W EMA
2026-03-14 01:22:42 | WARNING | TMPV: Insufficient data for analysis
2026-03-14 01:22:44 | INFO | 🔴 EXIT       | HINDUNILVR      | ₹   2160.00 | Below 40W EMA
2026-03-14 01:22:47 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    264.10 | Above all weekly EMAs
2026-03-14 01:22:49 | INFO | 🔴 EXIT       | TVSMOTOR        | ₹   3324.50 | Below 40W EMA
2026-03-14 01:22:51 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1801.60 | EMAs converging, no breakout yet
2026-03-14 01:22:53 | INFO | 🟡 WAIT       | PFC             | ₹    405.60 | EMAs converging, no breakout yet
2026-03-14 01:22:55 | INFO | 🟡 WAIT       | BRITANNIA       | ₹   5808.50 | EMAs converging, no breakout yet
2026-03-14 01:22:58 | INFO | 🔴 EXIT       | TRENT           | ₹   3487.80 | Below 40W EMA
2026-03-14 01:23:00 | INFO | 🔴 EXIT       | MAZDOCK         | ₹   2328.00 | Below 40W EMA
