2026-03-28 01:25:38 | INFO | Fetching NIFTY 100 stocks from NSE API
2026-03-28 01:25:38 | INFO | NSE fetch start for NIFTY 100
2026-03-28 01:25:38 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 100
2026-03-28 01:25:39 | INFO | NSE fetch success for NIFTY 100: 100 symbols
2026-03-28 01:25:39 | INFO | NIFTY 100 source: NSE live list (100 stocks)
2026-03-28 01:25:39 | INFO | Fetching NIFTY MIDCAP 150 stocks from NSE API
2026-03-28 01:25:39 | INFO | NSE fetch start for NIFTY MIDCAP 150
2026-03-28 01:25:39 | WARNING | NSE homepage cookie request returned status 403 for NIFTY MIDCAP 150
2026-03-28 01:25:41 | INFO | NSE fetch success for NIFTY MIDCAP 150: 150 symbols
2026-03-28 01:25:41 | INFO | NIFTY MIDCAP 150 source: NSE live list (150 stocks)
2026-03-28 01:25:43 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    756.20 | Below 40W EMA
2026-03-28 01:25:45 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1843.90 | EMAs converging, no breakout yet
2026-03-28 01:25:48 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1348.10 | EMAs converging, no breakout yet
2026-03-28 01:25:50 | INFO | 🔴 EXIT       | ICICIBANK       | ₹   1233.80 | Broke support with EMAs converging
2026-03-28 01:25:52 | INFO | 🟠 CAUTIOUS   | SBIN            | ₹   1019.50 | Below 20W EMA
2026-03-28 01:25:54 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    281.95 | Above all weekly EMAs
2026-03-28 01:25:56 | INFO | 🔴 EXIT       | INFY            | ₹   1269.70 | Below 40W EMA
2026-03-28 01:25:58 | INFO | 🔴 EXIT       | LT              | ₹   3564.10 | Broke support with EMAs converging
2026-03-28 01:26:01 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1364.40 | Below 40W EMA
2026-03-28 01:26:03 | INFO | 🔴 EXIT       | TCS             | ₹   2389.80 | Below 40W EMA
2026-03-28 01:26:05 | INFO | 🔴 EXIT       | AXISBANK        | ₹   1205.20 | Below 40W EMA
