2026-04-04 01:27:02 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-04-04 01:27:02 | INFO | NSE fetch start for NIFTY 500
2026-04-04 01:27:02 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 500
2026-04-04 01:27:03 | INFO | NSE fetch success for NIFTY 500: 500 symbols
2026-04-04 01:27:03 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-04-04 01:27:06 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    750.90 | Below 40W EMA
2026-04-04 01:27:08 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1350.50 | EMAs converging, no breakout yet
2026-04-04 01:27:10 | INFO | 🔴 EXIT       | ICICIBANK       | ₹   1215.80 | Below 40W EMA
2026-04-04 01:27:12 | INFO | 🟠 CAUTIOUS   | SBIN            | ₹   1018.40 | Below 20W EMA
2026-04-04 01:27:14 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1789.70 | EMAs converging, no breakout yet
2026-04-04 01:27:16 | INFO | 🔴 EXIT       | LATENTVIEW      | ₹    312.10 | Below 40W EMA
2026-04-04 01:27:19 | INFO | 🔴 EXIT       | INFY            | ₹   1300.80 | Below 40W EMA
2026-04-04 01:27:21 | INFO | 🔴 EXIT       | ETERNAL         | ₹    231.72 | Below 40W EMA
2026-04-04 01:27:23 | INFO | 🟡 WAIT       | LT              | ₹   3613.10 | EMAs converging, no breakout yet
2026-04-04 01:27:25 | INFO | 🔴 EXIT       | TCS             | ₹   2450.70 | Below 40W EMA
2026-04-04 01:27:27 | INFO | 🔴 EXIT       | OLAELEC         | ₹     28.34 | Below 40W EMA
2026-04-04 01:27:29 | INFO | 🔴 EXIT       | DIXON           | ₹   9920.50 | Below 40W EMA
2026-04-04 01:27:32 | INFO | 🔴 EXIT       | AXISBANK        | ₹   1197.90 | Broke support with EMAs converging
2026-04-04 01:27:34 | INFO | 🟢 HOLD_ADD   | VEDL            | ₹    687.65 | Above all weekly EMAs
2026-04-04 01:27:36 | INFO | 🟢 HOLD_ADD   | BSE             | ₹   2851.40 | Above all weekly EMAs
2026-04-04 01:27:38 | INFO | 🔴 EXIT       | M&M             | ₹   3011.70 | Below 40W EMA
2026-04-04 01:27:40 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    159.97 | Above all weekly EMAs
2026-04-04 01:27:42 | INFO | 🟡 WAIT       | GRSE            | ₹   2255.30 | EMAs converging, no breakout yet
2026-04-04 01:27:44 | INFO | 🔴 EXIT       | INDIGO          | ₹   4193.50 | Below 40W EMA
2026-04-04 01:27:47 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1402.20 | Below 40W EMA
2026-04-04 01:27:49 | INFO | 🟣 FADING     | HINDCOPPER      | ₹    495.15 | Below 10W EMA - momentum fading
2026-04-04 01:27:51 | INFO | 🟣 FADING     | BEL             | ₹    421.60 | Below 10W EMA - momentum fading
2026-04-04 01:27:53 | WARNING | TMCV: Insufficient data for analysis
2026-04-04 01:27:55 | INFO | 🔴 EXIT       | ADANIGREEN      | ₹    856.00 | Below 40W EMA
2026-04-04 01:27:57 | INFO | 🔴 EXIT       | KOTAKBANK       | ₹    358.00 | Below 40W EMA
2026-04-04 01:27:59 | INFO | 🔴 EXIT       | COFORGE         | ₹   1213.40 | Below 40W EMA
2026-04-04 01:28:01 | INFO | 🔴 EXIT       | BAJFINANCE      | ₹    826.85 | Below 40W EMA
2026-04-04 01:28:04 | INFO | 🔴 EXIT       | IDEA            | ₹      8.58 | Below 40W EMA
2026-04-04 01:28:06 | INFO | 🔴 EXIT       | TATACHEM        | ₹    651.90 | Below 40W EMA
2026-04-04 01:28:08 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹    916.25 | Above all weekly EMAs
2026-04-04 01:28:10 | INFO | 🔴 EXIT       | MAZDOCK         | ₹   2264.60 | Below 40W EMA
2026-04-04 01:28:12 | INFO | 🟢 HOLD_ADD   | MCX             | ₹   2443.00 | Above all weekly EMAs
2026-04-04 01:28:14 | INFO | 🟡 WAIT       | DMART           | ₹   4362.40 | EMAs converging, no breakout yet
2026-04-04 01:28:16 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1693.60 | EMAs converging, no breakout yet
2026-04-04 01:28:19 | INFO | 🟣 FADING     | TITAN           | ₹   4097.20 | Below 10W EMA - momentum fading
2026-04-04 01:28:21 | INFO | 🟠 CAUTIOUS   | SHRIRAMFIN      | ₹    891.60 | Below 20W EMA
2026-04-04 01:28:23 | INFO | 🟢 HOLD_ADD   | ONGC            | ₹    287.20 | Above all weekly EMAs
2026-04-04 01:28:25 | INFO | 🟣 FADING     | NTPC            | ₹    359.65 | Below 10W EMA - momentum fading
2026-04-04 01:28:27 | INFO | 🔴 EXIT       | HAL             | ₹   3687.00 | Below 40W EMA
2026-04-04 01:28:29 | INFO | 🔴 EXIT       | KAYNES          | ₹   3538.00 | Below 40W EMA
2026-04-04 01:28:32 | INFO | 🔴 EXIT       | MARUTI          | ₹  12631.00 | Below 40W EMA
2026-04-04 01:28:34 | INFO | 🟢 HOLD_ADD   | TATASTEEL       | ₹    194.14 | Above all weekly EMAs
2026-04-04 01:28:36 | INFO | 🔴 EXIT       | ITC             | ₹    292.85 | Below 40W EMA
2026-04-04 01:28:38 | INFO | 🔴 EXIT       | PERSISTENT      | ₹   5227.70 | Below 40W EMA
2026-04-04 01:28:40 | INFO | 🔴 EXIT       | ASHOKLEY        | ₹    148.44 | Below 40W EMA
2026-04-04 01:28:42 | INFO | 🟢 HOLD_ADD   | POWERGRID       | ₹    289.95 | Above all weekly EMAs
2026-04-04 01:28:44 | INFO | 🔴 EXIT       | EICHERMOT       | ₹   6649.50 | Below 40W EMA
2026-04-04 01:28:47 | INFO | 🟡 WAIT       | ADANIPORTS      | ₹   1377.60 | EMAs converging, no breakout yet
2026-04-04 01:28:49 | INFO | 🟢 HOLD_ADD   | SAIL            | ₹    155.16 | Above all weekly EMAs
2026-04-04 01:28:51 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1217.30 | EMAs converging, no breakout yet
2026-04-04 01:28:53 | INFO | 🔴 EXIT       | JIOFIN          | ₹    229.48 | Below 40W EMA
2026-04-04 01:28:55 | INFO | 🔴 EXIT       | ASIANPAINT      | ₹   2169.00 | Below 40W EMA
2026-04-04 01:28:57 | INFO | 🔴 EXIT       | DLF             | ₹    522.25 | Below 40W EMA
2026-04-04 01:28:59 | WARNING | GROWW: Insufficient data for analysis
2026-04-04 01:29:01 | INFO | 🔴 EXIT       | TRENT           | ₹   3550.60 | Below 40W EMA
2026-04-04 01:29:04 | INFO | 🟢 HOLD_ADD   | NATIONALUM      | ₹    401.80 | Above all weekly EMAs
2026-04-04 01:29:06 | INFO | 🔴 EXIT       | HEROMOTOCO      | ₹   5011.50 | Below 40W EMA
2026-04-04 01:29:08 | INFO | 🟡 WAIT       | WAAREEENER      | ₹   3070.70 | EMAs converging, no breakout yet
2026-04-04 01:29:10 | INFO | 🔴 EXIT       | CIPLA           | ₹   1192.40 | Below 40W EMA
2026-04-04 01:29:12 | INFO | 🔴 EXIT       | BAJAJFINSV      | ₹   1640.70 | Below 40W EMA
2026-04-04 01:29:14 | INFO | 🔴 EXIT       | CANBK           | ₹    127.04 | Below 40W EMA
2026-04-04 01:29:16 | INFO | 🔴 EXIT       | BPCL            | ₹    278.15 | Below 40W EMA
2026-04-04 01:29:19 | INFO | 🔴 EXIT       | BANKBARODA      | ₹    249.56 | Below 40W EMA
2026-04-04 01:29:21 | INFO | 🟡 WAIT       | TATAPOWER       | ₹    385.00 | EMAs converging, no breakout yet
2026-04-04 01:29:23 | INFO | 🟡 WAIT       | PFC             | ₹    402.25 | EMAs converging, no breakout yet
2026-04-04 01:29:25 | INFO | 🔴 EXIT       | TECHM           | ₹   1441.50 | Below 40W EMA
2026-04-04 01:29:27 | INFO | 🟡 WAIT       | ULTRACEMCO      | ₹  10620.00 | EMAs converging, no breakout yet
2026-04-04 01:29:29 | INFO | 🔴 EXIT       | PGEL            | ₹    454.45 | Below 40W EMA
2026-04-04 01:29:31 | INFO | 🔴 EXIT       | LODHA           | ₹    696.05 | Below 40W EMA
2026-04-04 01:29:34 | INFO | 🔴 EXIT       | ADANIENT        | ₹   1834.20 | Below 40W EMA
2026-04-04 01:29:36 | INFO | 🔴 EXIT       | HDFCLIFE        | ₹    566.10 | Below 40W EMA
2026-04-04 01:29:38 | INFO | 🟠 CAUTIOUS   | TORNTPHARM      | ₹   3987.20 | Below 20W EMA
2026-04-04 01:29:40 | INFO | 🔴 EXIT       | WIPRO           | ₹    194.91 | Below 40W EMA
2026-04-04 01:29:42 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   4646.50 | Above all weekly EMAs
2026-04-04 01:29:44 | INFO | 🔴 EXIT       | TVSMOTOR        | ₹   3391.40 | Below 40W EMA
2026-04-04 01:29:46 | INFO | 🔴 EXIT       | BLUESTARCO      | ₹   1528.30 | Broke support with EMAs converging
2026-04-04 01:29:49 | INFO | 🔴 EXIT       | IOC             | ₹    134.13 | Broke support with EMAs converging
2026-04-04 01:29:51 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    449.35 | Above all weekly EMAs
2026-04-04 01:29:53 | INFO | 🟢 HOLD_ADD   | LAURUSLABS      | ₹   1042.90 | Above all weekly EMAs
2026-04-04 01:29:55 | INFO | 🔴 EXIT       | CHOLAFIN        | ₹   1356.30 | Below 40W EMA
2026-04-04 01:29:57 | INFO | 🔴 EXIT       | VOLTAS          | ₹   1235.40 | Broke support with EMAs converging
2026-04-04 01:29:59 | INFO | 🔴 EXIT       | DIVISLAB        | ₹   5856.50 | Broke support with EMAs converging
2026-04-04 01:30:01 | WARNING | LTM: Insufficient data for analysis
2026-04-04 01:30:04 | INFO | 🔴 EXIT       | HINDUNILVR      | ₹   2065.30 | Below 40W EMA
2026-04-04 01:30:06 | INFO | 🟢 HOLD_ADD   | DATAPATTNS      | ₹   3055.30 | Above all weekly EMAs
2026-04-04 01:30:08 | INFO | 🔴 EXIT       | MOTHERSON       | ₹    106.81 | Below 40W EMA
2026-04-04 01:30:10 | INFO | 🔴 EXIT       | COCHINSHIP      | ₹   1314.50 | Below 40W EMA
2026-04-04 01:30:12 | INFO | 🟢 HOLD_ADD   | OIL             | ₹    480.15 | Above all weekly EMAs
2026-04-04 01:30:14 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  25325.00 | Above all weekly EMAs
2026-04-04 01:30:16 | WARNING | ACUTAAS: Insufficient data for analysis
2026-04-04 01:30:19 | INFO | 🟢 HOLD_ADD   | LUPIN           | ₹   2274.50 | Above all weekly EMAs
2026-04-04 01:30:21 | INFO | 🔴 EXIT       | SWIGGY          | ₹    275.35 | Below 40W EMA
2026-04-04 01:30:23 | WARNING | TMPV: Insufficient data for analysis
2026-04-04 01:30:25 | INFO | 🟡 WAIT       | AMBER           | ₹   6281.50 | EMAs converging, no breakout yet
2026-04-04 01:30:27 | INFO | 🔴 EXIT       | BOSCHLTD        | ₹  32135.00 | Below 40W EMA
2026-04-04 01:30:29 | INFO | 🟢 HOLD_ADD   | GVT&D           | ₹   3822.20 | Above all weekly EMAs
2026-04-04 01:30:31 | INFO | 🟢 HOLD_ADD   | CHENNPETRO      | ₹   1032.25 | Above all weekly EMAs
2026-04-04 01:30:33 | INFO | 🔴 EXIT       | TATACONSUM      | ₹   1042.00 | Broke support with EMAs converging
2026-04-04 01:30:36 | INFO | 🟡 WAIT       | POLYCAB         | ₹   6878.00 | EMAs converging, no breakout yet
2026-04-04 01:30:38 | INFO | 🟡 WAIT       | SBILIFE         | ₹   1774.00 | EMAs converging, no breakout yet
2026-04-04 01:30:40 | INFO | 🔴 EXIT       | SUZLON          | ₹     40.78 | Below 40W EMA
2026-04-04 01:30:42 | INFO | 🔴 EXIT       | HDFCAMC         | ₹   2348.60 | Broke support with EMAs converging
2026-04-04 01:30:44 | INFO | 🔴 EXIT       | PAGEIND         | ₹  33945.00 | Below 40W EMA
2026-04-04 01:30:46 | INFO | 🔴 EXIT       | RECLTD          | ₹    324.80 | Below 40W EMA
2026-04-04 01:30:48 | INFO | 🟡 WAIT       | SAMMAANCAP      | ₹    146.95 | EMAs converging, no breakout yet
2026-04-04 01:30:50 | INFO | 🟡 WAIT       | SOLARINDS       | ₹  13109.00 | EMAs converging, no breakout yet
2026-04-04 01:30:53 | INFO | 🟠 CAUTIOUS   | JSWSTEEL        | ₹   1141.30 | Below 20W EMA
2026-04-04 01:30:55 | INFO | 🟣 FADING     | UNIONBANK       | ₹    171.99 | Below 10W EMA - momentum fading
2026-04-04 01:30:57 | INFO | 🟡 WAIT       | APOLLOHOSP      | ₹   7317.50 | EMAs converging, no breakout yet
2026-04-04 01:30:59 | INFO | 🔴 EXIT       | HINDPETRO       | ₹    326.00 | Below 40W EMA
2026-04-04 01:31:01 | INFO | 🟢 HOLD_ADD   | AUROPHARMA      | ₹   1333.70 | Above all weekly EMAs
2026-04-04 01:31:03 | INFO | 🟡 WAIT       | BRITANNIA       | ₹   5442.00 | EMAs converging, no breakout yet
2026-04-04 01:31:05 | INFO | 🔴 EXIT       | PRESTIGE        | ₹   1152.00 | Below 40W EMA
2026-04-04 01:31:07 | WARNING | LGEINDIA: Insufficient data for analysis
2026-04-04 01:31:10 | INFO | 🟡 WAIT       | PNB             | ₹    104.48 | EMAs converging, no breakout yet
2026-04-04 01:31:12 | INFO | 🔴 EXIT       | CDSL            | ₹   1186.30 | Below 40W EMA
2026-04-04 01:31:14 | INFO | 🟠 CAUTIOUS   | KARURVYSYA      | ₹    272.65 | Below 20W EMA
2026-04-04 01:31:16 | INFO | 🔴 EXIT       | KEI             | ₹   4048.10 | Below 40W EMA
2026-04-04 01:31:18 | INFO | 🔴 EXIT       | HINDZINC        | ₹    515.75 | Below 40W EMA
2026-04-04 01:31:20 | INFO | 🟡 WAIT       | BAJAJ-AUTO      | ₹   8758.50 | EMAs converging, no breakout yet
2026-04-04 01:31:22 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    582.75 | Below 40W EMA
2026-04-04 01:31:25 | INFO | 🟠 CAUTIOUS   | RBLBANK         | ₹    301.00 | Below 20W EMA
2026-04-04 01:31:27 | INFO | 🔴 EXIT       | PAYTM           | ₹   1006.00 | Below 40W EMA
2026-04-04 01:31:29 | INFO | 🟢 HOLD_ADD   | MARICO          | ₹    761.35 | Above all weekly EMAs
2026-04-04 01:31:31 | INFO | 🔴 EXIT       | GAIL            | ₹    141.73 | Below 40W EMA
2026-04-04 01:31:33 | INFO | 🟣 FADING     | NMDC            | ₹     78.08 | Below 10W EMA - momentum fading
2026-04-04 01:31:35 | INFO | 🔴 EXIT       | MUTHOOTFIN      | ₹   3178.80 | Below 40W EMA
2026-04-04 01:31:37 | INFO | 🔴 EXIT       | BIOCON          | ₹    352.55 | Broke support with EMAs converging
2026-04-04 01:31:40 | INFO | 🟣 FADING     | FORCEMOT        | ₹  21126.00 | Below 10W EMA - momentum fading
2026-04-04 01:31:42 | INFO | 🟣 FADING     | ASTRAL          | ₹   1553.50 | Below 10W EMA - momentum fading
2026-04-04 01:31:44 | INFO | 🔴 EXIT       | VMM             | ₹    107.88 | Below 40W EMA
2026-04-04 01:31:46 | INFO | 🔴 EXIT       | ICICIGI         | ₹   1689.10 | Below 40W EMA
2026-04-04 01:31:48 | INFO | 🔴 EXIT       | HYUNDAI         | ₹   1711.50 | Below 40W EMA
2026-04-04 01:31:50 | INFO | 🟣 FADING     | GLENMARK        | ₹   2091.80 | Below 10W EMA - momentum fading
2026-04-04 01:31:52 | INFO | 🟡 WAIT       | BHEL            | ₹    248.11 | EMAs converging, no breakout yet
2026-04-04 01:31:55 | INFO | 🔴 EXIT       | IDBI            | ₹     69.55 | Below 40W EMA
2026-04-04 01:31:57 | INFO | 🔴 EXIT       | INDUSINDBK      | ₹    778.70 | Broke support with EMAs converging
2026-04-04 01:31:59 | INFO | 🟢 HOLD_ADD   | PREMIERENE      | ₹    917.35 | Above all weekly EMAs
2026-04-04 01:32:01 | INFO | 🟠 CAUTIOUS   | NETWEB          | ₹   3155.00 | Below 20W EMA
2026-04-04 01:32:03 | INFO | 🔴 EXIT       | ANGELONE        | ₹    240.85 | Below 40W EMA
2026-04-04 01:32:05 | INFO | 🔴 EXIT       | TEJASNET        | ₹    419.25 | Below 40W EMA
2026-04-04 01:32:07 | INFO | 🟡 WAIT       | HSCL            | ₹    448.15 | EMAs converging, no breakout yet
2026-04-04 01:32:09 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹    944.60 | Below 40W EMA
2026-04-04 01:32:11 | INFO | 🔴 EXIT       | AUBANK          | ₹    868.25 | Below 40W EMA
2026-04-04 01:32:14 | INFO | 🔴 EXIT       | GODREJPROP      | ₹   1508.30 | Below 40W EMA
2026-04-04 01:32:16 | INFO | 🟡 WAIT       | SUPREMEIND      | ₹   3642.10 | EMAs converging, no breakout yet
2026-04-04 01:32:18 | INFO | 🔴 EXIT       | SRF             | ₹   2416.10 | Below 40W EMA
2026-04-04 01:32:20 | INFO | 🔴 EXIT       | IRFC            | ₹     91.84 | Below 40W EMA
2026-04-04 01:32:22 | INFO | 🔴 EXIT       | YESBANK         | ₹     17.87 | Below 40W EMA
2026-04-04 01:32:24 | INFO | 🔴 EXIT       | GODREJCP        | ₹    994.80 | Below 40W EMA
2026-04-04 01:32:26 | INFO | 🔴 EXIT       | BDL             | ₹   1185.60 | Below 40W EMA
2026-04-04 01:32:28 | INFO | 🟡 WAIT       | BANDHANBNK      | ₹    146.34 | EMAs converging, no breakout yet
2026-04-04 01:32:31 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2209.90 | Below 40W EMA
2026-04-04 01:32:33 | INFO | 🟣 FADING     | JINDALSTEL      | ₹   1137.90 | Below 10W EMA - momentum fading
2026-04-04 01:32:35 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   6142.00 | Above all weekly EMAs
2026-04-04 01:32:37 | INFO | 🟣 FADING     | BHARATFORG      | ₹   1642.60 | Below 10W EMA - momentum fading
2026-04-04 01:32:39 | INFO | 🔴 EXIT       | BLS             | ₹    268.40 | Below 40W EMA
2026-04-04 01:32:41 | WARNING | CPPLUS: Insufficient data for analysis
2026-04-04 01:32:43 | INFO | 🔴 EXIT       | UNOMINDA        | ₹   1025.40 | Below 40W EMA
2026-04-04 01:32:46 | INFO | 🔴 EXIT       | NAUKRI          | ₹    993.80 | Below 40W EMA
2026-04-04 01:32:48 | INFO | 🟠 CAUTIOUS   | ADANIENSOL      | ₹    941.60 | Below 20W EMA
2026-04-04 01:32:50 | INFO | 🔴 EXIT       | NESTLEIND       | ₹   1191.30 | Broke support with EMAs converging
2026-04-04 01:32:52 | INFO | 🔴 EXIT       | REDINGTON       | ₹    201.11 | Below 40W EMA
2026-04-04 01:32:54 | INFO | 🔴 EXIT       | RVNL            | ₹    260.66 | Below 40W EMA
2026-04-04 01:32:56 | INFO | 🟠 CAUTIOUS   | INDUSTOWER      | ₹    424.85 | Below 20W EMA
2026-04-04 01:32:58 | INFO | 🔴 EXIT       | IDFCFIRSTB      | ₹     60.22 | Below 40W EMA
2026-04-04 01:33:00 | INFO | 🟡 WAIT       | MANAPPURAM      | ₹    255.80 | EMAs converging, no breakout yet
2026-04-04 01:33:02 | WARNING | ICICIAMC: Insufficient data for analysis
2026-04-04 01:33:05 | INFO | 🟠 CAUTIOUS   | NYKAA           | ₹    245.98 | Below 20W EMA
2026-04-04 01:33:07 | INFO | 🟡 WAIT       | JSWENERGY       | ₹    491.10 | EMAs converging, no breakout yet
2026-04-04 01:33:09 | INFO | 🔴 EXIT       | VBL             | ₹    403.70 | Below 40W EMA
2026-04-04 01:33:11 | INFO | 🟠 CAUTIOUS   | FEDERALBNK      | ₹    265.55 | Below 20W EMA
2026-04-04 01:33:13 | INFO | 🔴 EXIT       | RPOWER          | ₹     22.64 | Below 40W EMA
2026-04-04 01:33:15 | INFO | 🟡 WAIT       | CGPOWER         | ₹    680.05 | EMAs converging, no breakout yet
2026-04-04 01:33:17 | INFO | 🔴 EXIT       | POLICYBZR       | ₹   1426.90 | Below 40W EMA
2026-04-04 01:33:19 | INFO | 🟣 FADING     | INDIANB         | ₹    869.40 | Below 10W EMA - momentum fading
2026-04-04 01:33:22 | INFO | 🔴 EXIT       | HEXT            | ₹    443.95 | Below 40W EMA
2026-04-04 01:33:24 | INFO | 🟡 WAIT       | LLOYDSME        | ₹   1388.30 | EMAs converging, no breakout yet
2026-04-04 01:33:26 | INFO | 🔴 EXIT       | MFSL            | ₹   1464.20 | Below 40W EMA
2026-04-04 01:33:28 | INFO | 🔴 EXIT       | GODFRYPHLP      | ₹   1909.90 | Below 40W EMA
2026-04-04 01:33:30 | INFO | 🟡 WAIT       | GRASIM          | ₹   2564.10 | EMAs converging, no breakout yet
2026-04-04 01:33:32 | INFO | 🟢 HOLD_ADD   | GMDCLTD         | ₹    582.35 | Above all weekly EMAs
2026-04-04 01:33:34 | INFO | 🟢 HOLD_ADD   | MRPL            | ₹    182.14 | Above all weekly EMAs
2026-04-04 01:33:37 | INFO | 🔴 EXIT       | BANKINDIA       | ₹    139.16 | Below 40W EMA
2026-04-04 01:33:39 | INFO | 🔴 EXIT       | HFCL            | ₹     71.72 | Below 40W EMA
2026-04-04 01:33:41 | INFO | 🔴 EXIT       | JUBLFOOD        | ₹    446.55 | Below 40W EMA
2026-04-04 01:33:43 | INFO | 🔴 EXIT       | KPITTECH        | ₹    696.80 | Below 40W EMA
2026-04-04 01:33:45 | INFO | 🔴 EXIT       | LTF             | ₹    240.35 | Below 40W EMA
2026-04-04 01:33:47 | INFO | 🟣 FADING     | MAHABANK        | ₹     63.89 | Below 10W EMA - momentum fading
2026-04-04 01:33:49 | WARNING | ATHERENERG: Insufficient data for analysis
2026-04-04 01:33:51 | INFO | 🔴 EXIT       | OBEROIRLTY      | ₹   1506.90 | Below 40W EMA
2026-04-04 01:33:54 | INFO | 🔴 EXIT       | TATAELXSI       | ₹   4241.30 | Below 40W EMA
2026-04-04 01:33:56 | INFO | 🔴 EXIT       | UNITDSPR        | ₹   1221.20 | Below 40W EMA
2026-04-04 01:33:58 | INFO | 🔴 EXIT       | MANKIND         | ₹   1998.50 | Below 40W EMA
2026-04-04 01:34:00 | INFO | 🔴 EXIT       | LICI            | ₹    734.85 | Below 40W EMA
2026-04-04 01:34:02 | INFO | 🔴 EXIT       | PIDILITIND      | ₹   1273.60 | Below 40W EMA
2026-04-04 01:34:04 | INFO | 🔴 EXIT       | HAVELLS         | ₹   1180.60 | Below 40W EMA
2026-04-04 01:34:06 | INFO | 🟠 CAUTIOUS   | NAVINFLUOR      | ₹   5891.00 | Below 20W EMA
2026-04-04 01:34:08 | INFO | 🔴 EXIT       | KALYANKJIL      | ₹    394.35 | Below 40W EMA
2026-04-04 01:34:11 | INFO | 🟢 HOLD_ADD   | APARINDS        | ₹   9832.00 | Above all weekly EMAs
2026-04-04 01:34:13 | INFO | 🔴 EXIT       | CAMS            | ₹    660.90 | Below 40W EMA
2026-04-04 01:34:15 | INFO | 🔴 EXIT       | OFSS            | ₹   6992.50 | Below 40W EMA
2026-04-04 01:34:17 | INFO | 🔴 EXIT       | ABCAPITAL       | ₹    298.25 | Below 40W EMA
2026-04-04 01:34:19 | INFO | 🔴 EXIT       | ANANTRAJ        | ₹    451.75 | Below 40W EMA
2026-04-04 01:34:21 | INFO | 🔴 EXIT       | MRF             | ₹ 126390.00 | Below 40W EMA
2026-04-04 01:34:23 | INFO | 🔴 EXIT       | HBLENGINE       | ₹    667.40 | Below 40W EMA
2026-04-04 01:34:25 | INFO | 🟢 HOLD_ADD   | NATCOPHARM      | ₹   1027.55 | Above all weekly EMAs
2026-04-04 01:34:28 | INFO | 🟡 WAIT       | TORNTPOWER      | ₹   1332.20 | EMAs converging, no breakout yet
2026-04-04 01:34:30 | INFO | 🔴 EXIT       | IREDA           | ₹    114.94 | Below 40W EMA
2026-04-04 01:34:32 | INFO | 🟠 CAUTIOUS   | APLAPOLLO       | ₹   1899.20 | Below 20W EMA
2026-04-04 01:34:34 | INFO | 🔴 EXIT       | NBCC            | ₹     83.09 | Below 40W EMA
2026-04-04 01:34:36 | INFO | 🔴 EXIT       | JBMA            | ₹    561.70 | Below 40W EMA
2026-04-04 01:34:38 | INFO | 🔴 EXIT       | BSOFT           | ₹    370.85 | Below 40W EMA
2026-04-04 01:34:41 | INFO | 🟡 WAIT       | SONACOMS        | ₹    496.55 | EMAs converging, no breakout yet
2026-04-04 01:34:43 | INFO | 🔴 EXIT       | PATANJALI       | ₹    466.95 | Below 40W EMA
2026-04-04 01:34:45 | INFO | 🔴 EXIT       | FORTIS          | ₹    788.75 | Broke support with EMAs converging
2026-04-04 01:34:47 | INFO | 🟡 WAIT       | ACMESOLAR       | ₹    274.65 | EMAs converging, no breakout yet
2026-04-04 01:34:49 | INFO | 🔴 EXIT       | LICHSGFIN       | ₹    517.40 | Below 40W EMA
2026-04-04 01:34:51 | INFO | 🟢 HOLD_ADD   | ANANDRATHI      | ₹   3208.20 | Above all weekly EMAs
2026-04-04 01:34:53 | INFO | 🔴 EXIT       | ZYDUSLIFE       | ₹    864.25 | Below 40W EMA
2026-04-04 01:34:55 | INFO | 🔴 EXIT       | INOXWIND        | ₹     79.55 | Below 40W EMA
2026-04-04 01:34:58 | INFO | 🔴 EXIT       | RADICO          | ₹   2623.20 | Below 40W EMA
2026-04-04 01:35:00 | INFO | 🔴 EXIT       | NAM-INDIA       | ₹    829.90 | Below 40W EMA
2026-04-04 01:35:02 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    418.45 | Below 40W EMA
2026-04-04 01:35:04 | INFO | 🟡 WAIT       | ENGINERSIN      | ₹    200.55 | EMAs converging, no breakout yet
2026-04-04 01:35:06 | INFO | 🔴 EXIT       | PNBHOUSING      | ₹    784.40 | Below 40W EMA
2026-04-04 01:35:08 | INFO | 🔴 EXIT       | UPL             | ₹    593.00 | Below 40W EMA
2026-04-04 01:35:10 | INFO | 🔴 EXIT       | WOCKPHARMA      | ₹   1271.50 | Below 40W EMA
2026-04-04 01:35:12 | INFO | 🔴 EXIT       | SAGILITY        | ₹     41.73 | Below 40W EMA
2026-04-04 01:35:15 | INFO | 🟡 WAIT       | IFCI            | ₹     52.44 | EMAs converging, no breakout yet
2026-04-04 01:35:17 | INFO | 🔴 EXIT       | JPPOWER         | ₹     15.01 | Below 40W EMA
