2026-04-11 01:29:51 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-04-11 01:29:51 | INFO | NSE fetch start for NIFTY 500
2026-04-11 01:29:51 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 500
2026-04-11 01:29:53 | INFO | NSE fetch success for NIFTY 500: 500 symbols
2026-04-11 01:29:53 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-04-11 01:29:55 | INFO | 🟢 HOLD_ADD   | OLAELEC         | ₹     40.88 | Above all weekly EMAs
2026-04-11 01:29:58 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    810.30 | Below 40W EMA
2026-04-11 01:30:00 | INFO | 🔴 EXIT       | TCS             | ₹   2524.30 | Below 40W EMA
2026-04-11 01:30:02 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1350.20 | EMAs converging, no breakout yet
2026-04-11 01:30:04 | INFO | 🔴 EXIT       | INFY            | ₹   1292.50 | Below 40W EMA
2026-04-11 01:30:06 | INFO | 🔴 EXIT       | ICICIBANK       | ₹   1321.90 | Below 40W EMA
2026-04-11 01:30:08 | INFO | 🟢 HOLD_ADD   | BSE             | ₹   3281.20 | Above all weekly EMAs
2026-04-11 01:30:10 | INFO | 🟢 HOLD_ADD   | SBIN            | ₹   1066.70 | Above all weekly EMAs
2026-04-11 01:30:13 | WARNING | COHANCE: Insufficient data for analysis
2026-04-11 01:30:15 | WARNING | GROWW: Insufficient data for analysis
2026-04-11 01:30:17 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1654.90 | EMAs converging, no breakout yet
2026-04-11 01:30:19 | INFO | 🟣 FADING     | COALINDIA       | ₹    434.10 | Below 10W EMA - momentum fading
2026-04-11 01:30:21 | INFO | 🔴 EXIT       | NIACL           | ₹    155.71 | Below 40W EMA
2026-04-11 01:30:23 | INFO | 🟢 HOLD_ADD   | VEDL            | ₹    745.15 | Above all weekly EMAs
2026-04-11 01:30:25 | INFO | 🟡 WAIT       | LT              | ₹   3959.90 | EMAs converging, no breakout yet
2026-04-11 01:30:28 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1870.00 | EMAs converging, no breakout yet
2026-04-11 01:30:30 | INFO | 🔴 EXIT       | WIPRO           | ₹    204.88 | Below 40W EMA
2026-04-11 01:30:32 | INFO | 🔴 EXIT       | ETERNAL         | ₹    240.23 | Below 40W EMA
2026-04-11 01:30:34 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    175.81 | Above all weekly EMAs
2026-04-11 01:30:36 | INFO | 🟢 HOLD_ADD   | AXISBANK        | ₹   1350.80 | Above all weekly EMAs
2026-04-11 01:30:38 | INFO | 🔴 EXIT       | M&M             | ₹   3259.80 | Below 40W EMA
2026-04-11 01:30:40 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1157.90 | Above all weekly EMAs
2026-04-11 01:30:43 | INFO | 🔴 EXIT       | KOTAKBANK       | ₹    374.55 | Below 40W EMA
2026-04-11 01:30:45 | INFO | 🔴 EXIT       | BAJFINANCE      | ₹    924.55 | Below 40W EMA
2026-04-11 01:30:47 | INFO | 🔴 EXIT       | DIXON           | ₹  10676.00 | Below 40W EMA
2026-04-11 01:30:49 | INFO | 🟢 HOLD_ADD   | POWERINDIA      | ₹  28425.00 | Above all weekly EMAs
2026-04-11 01:30:51 | INFO | 🟢 HOLD_ADD   | MCX             | ₹   2669.40 | Above all weekly EMAs
2026-04-11 01:30:53 | INFO | 🟢 HOLD_ADD   | SHRIRAMFIN      | ₹   1027.55 | Above all weekly EMAs
2026-04-11 01:30:55 | INFO | 🟢 HOLD_ADD   | ADANIGREEN      | ₹   1085.35 | Above all weekly EMAs
2026-04-11 01:30:58 | INFO | ✅ BULLISH    | WAAREEENER      | ₹   3281.40 | Resistance breakout with EMAs converging
2026-04-11 01:31:00 | WARNING | ATHERENERG: Insufficient data for analysis
2026-04-11 01:31:02 | INFO | 🟡 WAIT       | BAJAJ-AUTO      | ₹   9813.50 | EMAs converging, no breakout yet
2026-04-11 01:31:04 | INFO | 🔴 EXIT       | ASIANPAINT      | ₹   2360.70 | Below 40W EMA
2026-04-11 01:31:06 | WARNING | TMCV: Insufficient data for analysis
2026-04-11 01:31:08 | INFO | 🟢 HOLD_ADD   | TITAN           | ₹   4505.00 | Above all weekly EMAs
2026-04-11 01:31:10 | INFO | 🟢 HOLD_ADD   | ASHOKLEY        | ₹    178.02 | Above all weekly EMAs
