2026-04-18 01:46:33 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-04-18 01:46:33 | INFO | NSE fetch start for NIFTY 500
2026-04-18 01:46:33 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 500
2026-04-18 01:46:35 | INFO | NSE fetch success for NIFTY 500: 500 symbols
2026-04-18 01:46:35 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-04-18 01:46:37 | INFO | 🟢 HOLD_ADD   | SCI             | ₹    305.87 | Above all weekly EMAs
2026-04-18 01:46:39 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    799.90 | Below 40W EMA
2026-04-18 01:46:41 | INFO | 🟢 HOLD_ADD   | ANGELONE        | ₹    322.47 | Above all weekly EMAs
2026-04-18 01:46:43 | INFO | 🟡 WAIT       | ICICIBANK       | ₹   1346.80 | EMAs converging, no breakout yet
2026-04-18 01:46:46 | INFO | 🟢 HOLD_ADD   | GMDCLTD         | ₹    736.90 | Above all weekly EMAs
2026-04-18 01:46:48 | INFO | 🟢 HOLD_ADD   | BSE             | ₹   3531.50 | Above all weekly EMAs
2026-04-18 01:46:50 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1365.00 | EMAs converging, no breakout yet
2026-04-18 01:46:52 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    198.50 | Above all weekly EMAs
2026-04-18 01:46:54 | INFO | 🟢 HOLD_ADD   | SBIN            | ₹   1080.25 | Above all weekly EMAs
2026-04-18 01:46:56 | INFO | 🟢 HOLD_ADD   | NAVA            | ₹    703.10 | Above all weekly EMAs
2026-04-18 01:46:59 | INFO | 🟢 HOLD_ADD   | SUZLON          | ₹     52.93 | Above all weekly EMAs
2026-04-18 01:47:01 | INFO | 🔴 EXIT       | WIPRO           | ₹    204.32 | Below 40W EMA
2026-04-18 01:47:03 | INFO | 🔴 EXIT       | INFY            | ₹   1318.70 | Below 40W EMA
2026-04-18 01:47:05 | INFO | 🟢 HOLD_ADD   | GALLANTT        | ₹    853.45 | Above all weekly EMAs
2026-04-18 01:47:07 | INFO | 🟢 HOLD_ADD   | OLAELEC         | ₹     40.82 | Above all weekly EMAs
