2026-04-25 01:48:48 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-04-25 01:48:48 | INFO | NSE fetch start for NIFTY 500
2026-04-25 01:48:48 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 500
2026-04-25 01:48:49 | INFO | NSE fetch success for NIFTY 500: 500 symbols
2026-04-25 01:48:49 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-04-25 01:48:52 | INFO | 🔴 EXIT       | INFY            | ₹   1154.60 | Below 40W EMA
2026-04-25 01:48:54 | INFO | ✅ BULLISH    | HSCL            | ₹    566.15 | Resistance breakout with EMAs converging
2026-04-25 01:48:56 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    784.85 | Below 40W EMA
2026-04-25 01:48:58 | INFO | 🟢 HOLD_ADD   | COCHINSHIP      | ₹   1664.70 | Above all weekly EMAs
2026-04-25 01:49:00 | INFO | 🟡 WAIT       | ICICIBANK       | ₹   1326.20 | EMAs converging, no breakout yet
2026-04-25 01:49:02 | INFO | ✅ BULLISH    | ADANIGREEN      | ₹   1235.80 | Resistance breakout with EMAs converging
2026-04-25 01:49:04 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1327.80 | EMAs converging, no breakout yet
2026-04-25 01:49:07 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1620.40 | EMAs converging, no breakout yet
2026-04-25 01:49:09 | INFO | 🟢 HOLD_ADD   | SBIN            | ₹   1101.10 | Above all weekly EMAs
2026-04-25 01:49:11 | INFO | 🟢 HOLD_ADD   | VEDL            | ₹    720.95 | Above all weekly EMAs
2026-04-25 01:49:13 | WARNING | GROWW: Insufficient data for analysis
2026-04-25 01:49:15 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1203.20 | Below 40W EMA
2026-04-25 01:49:17 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    212.90 | Above all weekly EMAs
2026-04-25 01:49:19 | INFO | 🟢 HOLD_ADD   | DATAPATTNS      | ₹   4077.70 | Above all weekly EMAs
2026-04-25 01:49:21 | INFO | 🔴 EXIT       | TCS             | ₹   2396.90 | Below 40W EMA
2026-04-25 01:49:24 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1814.50 | EMAs converging, no breakout yet
