2026-05-02 02:03:11 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-05-02 02:03:11 | INFO | NSE fetch start for NIFTY 500
2026-05-02 02:03:11 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 500
2026-05-02 02:03:12 | INFO | NSE fetch success for NIFTY 500: 500 symbols
2026-05-02 02:03:12 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-05-02 02:03:15 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1436.00 | EMAs converging, no breakout yet
2026-05-02 02:03:17 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    774.75 | Below 40W EMA
2026-05-02 02:03:19 | INFO | 🔴 EXIT       | SYNGENE         | ₹    468.05 | Below 40W EMA
2026-05-02 02:03:21 | WARNING | MEESHO: Insufficient data for analysis
2026-05-02 02:03:24 | INFO | 🟢 HOLD_ADD   | HFCL            | ₹    115.96 | Above all weekly EMAs
2026-05-02 02:03:26 | INFO | 🟡 WAIT       | BAJFINANCE      | ₹    939.70 | EMAs converging, no breakout yet
2026-05-02 02:03:28 | INFO | 🟢 HOLD_ADD   | WAAREEENER      | ₹   3129.90 | Above all weekly EMAs
2026-05-02 02:03:30 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1891.00 | EMAs converging, no breakout yet
2026-05-02 02:03:32 | INFO | 🟡 WAIT       | ICICIBANK       | ₹   1265.70 | EMAs converging, no breakout yet
2026-05-02 02:03:35 | INFO | 🟠 CAUTIOUS   | AXISBANK        | ₹   1275.50 | Below 20W EMA
2026-05-02 02:03:37 | INFO | 🔴 EXIT       | ETERNAL         | ₹    246.60 | Below 40W EMA
2026-05-02 02:03:39 | INFO | 🟢 HOLD_ADD   | NAVINFLUOR      | ₹   6815.00 | Above all weekly EMAs
2026-05-02 02:03:41 | WARNING | CEMPRO: Insufficient data for analysis
2026-05-02 02:03:43 | INFO | 🟣 FADING     | SBIN            | ₹   1071.95 | Below 10W EMA - momentum fading
2026-05-02 02:03:45 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    222.08 | Above all weekly EMAs
2026-05-02 02:03:48 | INFO | 🔴 EXIT       | INFY            | ₹   1182.60 | Below 40W EMA
2026-05-02 02:03:50 | INFO | 🟢 HOLD_ADD   | BAJAJ-AUTO      | ₹  10039.00 | Above all weekly EMAs
2026-05-02 02:03:52 | INFO | 🟢 HOLD_ADD   | GRSE            | ₹   2946.00 | Above all weekly EMAs
2026-05-02 02:03:54 | INFO | 🟡 WAIT       | CHOLAFIN        | ₹   1570.50 | EMAs converging, no breakout yet
2026-05-02 02:03:57 | INFO | 🟢 HOLD_ADD   | ADANIPORTS      | ₹   1675.50 | Above all weekly EMAs
2026-05-02 02:03:59 | INFO | 🟡 WAIT       | LT              | ₹   4021.00 | EMAs converging, no breakout yet
2026-05-02 02:04:01 | INFO | 🔴 EXIT       | M&M             | ₹   3094.20 | Below 40W EMA
2026-05-02 02:04:03 | INFO | 🔴 EXIT       | HINDUNILVR      | ₹   2254.00 | Below 40W EMA
2026-05-02 02:04:05 | INFO | 🔴 EXIT       | TCS             | ₹   2474.80 | Below 40W EMA
2026-05-02 02:04:07 | INFO | 🔴 EXIT       | KOTAKBANK       | ₹    383.75 | Below 40W EMA
2026-05-02 02:04:10 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1344.95 | Above all weekly EMAs
2026-05-02 02:04:12 | INFO | 🟢 HOLD_ADD   | BSE             | ₹   3635.00 | Above all weekly EMAs
2026-05-02 02:04:14 | INFO | 🔴 EXIT       | INDIGO          | ₹   4300.00 | Below 40W EMA
2026-05-02 02:04:16 | INFO | 🟡 WAIT       | SUNPHARMA       | ₹   1810.00 | EMAs converging, no breakout yet
2026-05-02 02:04:18 | INFO | 🟢 HOLD_ADD   | ADANIENT        | ₹   2410.50 | Above all weekly EMAs
2026-05-02 02:04:21 | INFO | 🟡 WAIT       | ULTRACEMCO      | ₹  11597.00 | EMAs converging, no breakout yet
2026-05-02 02:04:23 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    481.60 | Above all weekly EMAs
2026-05-02 02:04:25 | INFO | 🟢 HOLD_ADD   | HSCL            | ₹    608.50 | Above all weekly EMAs
