2026-05-16 02:12:34 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-05-16 02:12:34 | INFO | NSE fetch start for NIFTY 500
2026-05-16 02:12:35 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 500
2026-05-16 02:12:36 | INFO | NSE fetch success for NIFTY 500: 500 symbols
2026-05-16 02:12:36 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-05-16 02:12:38 | INFO | 🟢 HOLD_ADD   | SAREGAMA        | ₹    415.75 | Above all weekly EMAs
2026-05-16 02:12:41 | INFO | 🟡 WAIT       | BHARTIARTL      | ₹   1905.40 | EMAs converging, no breakout yet
2026-05-16 02:12:43 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1336.40 | EMAs converging, no breakout yet
2026-05-16 02:12:45 | INFO | 🔴 EXIT       | SBIN            | ₹    963.20 | Below 40W EMA
2026-05-16 02:12:48 | INFO | 🔴 EXIT       | KAYNES          | ₹   3271.90 | Below 40W EMA
2026-05-16 02:12:50 | INFO | 🔴 EXIT       | INFY            | ₹   1119.00 | Below 40W EMA
2026-05-16 02:12:52 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    767.50 | Below 40W EMA
2026-05-16 02:12:55 | INFO | 🔴 EXIT       | VEDL            | ₹    331.05 | Below 40W EMA
2026-05-16 02:12:57 | WARNING | TMPV: Insufficient data for analysis
2026-05-16 02:12:59 | INFO | ✅ BULLISH    | ADANIENT        | ₹   2716.00 | Resistance breakout with EMAs converging
2026-05-16 02:13:01 | INFO | 🟢 HOLD_ADD   | BSE             | ₹   4000.60 | Above all weekly EMAs
2026-05-16 02:13:04 | INFO | 🟠 CAUTIOUS   | MUTHOOTFIN      | ₹   3311.40 | Below 20W EMA
2026-05-16 02:13:06 | INFO | 🟢 HOLD_ADD   | IDEA            | ₹     12.95 | Above all weekly EMAs
2026-05-16 02:13:08 | INFO | 🟢 HOLD_ADD   | GESHIP          | ₹   1533.90 | Above all weekly EMAs
2026-05-16 02:13:11 | INFO | 🔴 EXIT       | ICICIBANK       | ₹   1244.50 | Below 40W EMA
2026-05-16 02:13:13 | INFO | 🟢 HOLD_ADD   | JPPOWER         | ₹     19.54 | Above all weekly EMAs
2026-05-16 02:13:15 | INFO | 🟢 HOLD_ADD   | ADANIGREEN      | ₹   1379.00 | Above all weekly EMAs
2026-05-16 02:13:18 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    221.33 | Above all weekly EMAs
2026-05-16 02:13:20 | INFO | 🟢 HOLD_ADD   | DATAPATTNS      | ₹   3876.50 | Above all weekly EMAs
2026-05-16 02:13:22 | INFO | 🟢 HOLD_ADD   | MCX             | ₹   3391.00 | Above all weekly EMAs
2026-05-16 02:13:24 | INFO | 🟢 HOLD_ADD   | ADANIPORTS      | ₹   1795.10 | Above all weekly EMAs
2026-05-16 02:13:27 | INFO | 🟡 WAIT       | HAL             | ₹   4386.20 | EMAs converging, no breakout yet
2026-05-16 02:13:29 | INFO | 🟢 HOLD_ADD   | SOLARINDS       | ₹  17314.00 | Above all weekly EMAs
2026-05-16 02:13:31 | INFO | 🔴 EXIT       | TCS             | ₹   2264.00 | Below 40W EMA
2026-05-16 02:13:34 | INFO | 🔴 EXIT       | KOTAKBANK       | ₹    387.05 | Below 40W EMA
2026-05-16 02:13:36 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹   1067.50 | Above all weekly EMAs
2026-05-16 02:13:38 | INFO | 🟢 HOLD_ADD   | TATASTEEL       | ₹    216.84 | Above all weekly EMAs
2026-05-16 02:13:41 | INFO | 🔴 EXIT       | TECHM           | ₹   1370.50 | Below 40W EMA
2026-05-16 02:13:43 | INFO | 🔴 EXIT       | DIXON           | ₹  10979.00 | Below 40W EMA
2026-05-16 02:13:45 | INFO | 🟢 HOLD_ADD   | SAILIFE         | ₹   1090.90 | Above all weekly EMAs
2026-05-16 02:13:48 | INFO | 🔴 EXIT       | M&M             | ₹   3123.10 | Below 40W EMA
2026-05-16 02:13:50 | INFO | 🟢 HOLD_ADD   | BHEL            | ₹    398.30 | Above all weekly EMAs
2026-05-16 02:13:53 | INFO | 🟡 WAIT       | AXISBANK        | ₹   1244.80 | EMAs converging, no breakout yet
2026-05-16 02:13:55 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1303.60 | Above all weekly EMAs
2026-05-16 02:13:57 | INFO | 🟢 HOLD_ADD   | HINDZINC        | ₹    637.80 | Above all weekly EMAs
2026-05-16 02:13:59 | INFO | 🟢 HOLD_ADD   | CROMPTON        | ₹    301.95 | Above all weekly EMAs
2026-05-16 02:14:02 | INFO | 🟠 CAUTIOUS   | SHRIRAMFIN      | ₹    937.90 | Below 20W EMA
2026-05-16 02:14:04 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1336.70 | EMAs converging, no breakout yet
2026-05-16 02:14:06 | INFO | 🟡 WAIT       | LT              | ₹   3909.00 | EMAs converging, no breakout yet
2026-05-16 02:14:09 | INFO | ✅ BULLISH    | SUNPHARMA       | ₹   1878.20 | Resistance breakout with EMAs converging
2026-05-16 02:14:11 | INFO | 🟡 WAIT       | UNITDSPR        | ₹   1320.70 | EMAs converging, no breakout yet
2026-05-16 02:14:13 | WARNING | GROWW: Insufficient data for analysis
2026-05-16 02:14:16 | INFO | 🔴 EXIT       | HINDPETRO       | ₹    366.40 | Below 40W EMA
2026-05-16 02:14:18 | INFO | 🟢 HOLD_ADD   | JSWSTEEL        | ₹   1278.80 | Above all weekly EMAs
2026-05-16 02:14:20 | INFO | 🔴 EXIT       | CANBK           | ₹    128.07 | Below 40W EMA
2026-05-16 02:14:23 | INFO | 🟢 HOLD_ADD   | HINDCOPPER      | ₹    570.25 | Above all weekly EMAs
2026-05-16 02:14:25 | INFO | 🟢 HOLD_ADD   | HSCL            | ₹    596.00 | Above all weekly EMAs
2026-05-16 02:14:28 | INFO | 🟢 HOLD_ADD   | NESTLEIND       | ₹   1430.50 | Above all weekly EMAs
2026-05-16 02:14:30 | INFO | 🟢 HOLD_ADD   | SAIL            | ₹    192.40 | Above all weekly EMAs
2026-05-16 02:14:32 | INFO | 🟣 FADING     | LUPIN           | ₹   2276.20 | Below 10W EMA - momentum fading
2026-05-16 02:14:35 | INFO | 🟡 WAIT       | GRASIM          | ₹   2933.80 | EMAs converging, no breakout yet
2026-05-16 02:14:37 | INFO | 🟢 HOLD_ADD   | HFCL            | ₹    147.89 | Above all weekly EMAs
2026-05-16 02:14:39 | INFO | 🟢 HOLD_ADD   | GRAPHITE        | ₹    774.45 | Above all weekly EMAs
2026-05-16 02:14:42 | INFO | 🟡 WAIT       | BAJFINANCE      | ₹    910.45 | EMAs converging, no breakout yet
2026-05-16 02:14:44 | INFO | 🟢 HOLD_ADD   | SUZLON          | ₹     53.84 | Above all weekly EMAs
2026-05-16 02:14:46 | INFO | 🔴 EXIT       | ETERNAL         | ₹    241.18 | Below 40W EMA
2026-05-16 02:14:48 | INFO | 🔴 EXIT       | COFORGE         | ₹   1282.10 | Below 40W EMA
2026-05-16 02:14:51 | INFO | 🔴 EXIT       | CHAMBLFERT      | ₹    449.90 | Below 40W EMA
2026-05-16 02:14:53 | INFO | 🔴 EXIT       | BPCL            | ₹    284.45 | Below 40W EMA
2026-05-16 02:14:55 | INFO | 🔴 EXIT       | HCLTECH         | ₹   1132.60 | Below 40W EMA
2026-05-16 02:14:58 | INFO | 🟢 HOLD_ADD   | NLCINDIA        | ₹    352.80 | Above all weekly EMAs
2026-05-16 02:15:00 | INFO | 🟡 WAIT       | IOC             | ₹    134.48 | EMAs converging, no breakout yet
2026-05-16 02:15:02 | INFO | 🟢 HOLD_ADD   | SCI             | ₹    331.40 | Above all weekly EMAs
