2026-06-06 02:30:02 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-06-06 02:30:02 | INFO | Fetching NIFTY 500 stocks list from NSE archives CSV: https://archives.nseindia.com/content/indices/ind_nifty500list.csv
2026-06-06 02:30:02 | INFO | NSE fetch success for NIFTY 500 from archives CSV: 504 symbols
2026-06-06 02:30:02 | INFO | NIFTY 500 source: NSE live list (504 stocks)
2026-06-06 02:30:05 | INFO | 🟡 WAIT       | 360ONE          | ₹   1073.90 | EMAs converging, no breakout yet
2026-06-06 02:30:07 | INFO | 🟡 WAIT       | 3MINDIA         | ₹  31995.00 | EMAs converging, no breakout yet
2026-06-06 02:30:09 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   7167.50 | Above all weekly EMAs
2026-06-06 02:30:11 | INFO | 🔴 EXIT       | ACC             | ₹   1329.80 | Below 40W EMA
2026-06-06 02:30:13 | INFO | 🟢 HOLD_ADD   | ACMESOLAR       | ₹    356.65 | Above all weekly EMAs
2026-06-06 02:30:16 | INFO | 🟢 HOLD_ADD   | AIAENG          | ₹   4630.70 | Above all weekly EMAs
2026-06-06 02:30:18 | INFO | 🔴 EXIT       | APLAPOLLO       | ₹   1822.60 | Broke support with EMAs converging
2026-06-06 02:30:20 | INFO | 🟣 FADING     | AUBANK          | ₹    969.40 | Below 10W EMA - momentum fading
2026-06-06 02:30:22 | INFO | 🔴 EXIT       | AWL             | ₹    188.88 | Below 40W EMA
2026-06-06 02:30:24 | INFO | 🟡 WAIT       | AADHARHFC       | ₹    468.15 | EMAs converging, no breakout yet
2026-06-06 02:30:26 | INFO | 🟣 FADING     | AARTIIND        | ₹    458.05 | Below 10W EMA - momentum fading
2026-06-06 02:30:28 | INFO | 🔴 EXIT       | AAVAS           | ₹   1297.80 | Below 40W EMA
2026-06-06 02:30:30 | INFO | 🔴 EXIT       | ABBOTINDIA      | ₹  26035.00 | Below 40W EMA
2026-06-06 02:30:33 | INFO | 🔴 EXIT       | ACE             | ₹    900.30 | Below 40W EMA
2026-06-06 02:30:35 | INFO | 🟢 HOLD_ADD   | ACUTAAS         | ₹   3328.30 | Above all weekly EMAs
2026-06-06 02:30:37 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1579.00 | Above all weekly EMAs
2026-06-06 02:30:39 | INFO | 🟢 HOLD_ADD   | ADANIENT        | ₹   3048.20 | Above all weekly EMAs
2026-06-06 02:30:41 | INFO | 🟢 HOLD_ADD   | ADANIGREEN      | ₹   1525.70 | Above all weekly EMAs
2026-06-06 02:30:43 | INFO | 🟢 HOLD_ADD   | ADANIPORTS      | ₹   1824.20 | Above all weekly EMAs
2026-06-06 02:30:45 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    232.60 | Above all weekly EMAs
2026-06-06 02:30:47 | INFO | 🟢 HOLD_ADD   | ATGL            | ₹    762.25 | Above all weekly EMAs
