2026-07-11 02:14:47 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-07-11 02:14:47 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-07-11 02:14:50 | INFO | 🟡 WAIT       | MMM             | $    157.52 | EMAs converging, no breakout yet
2026-07-11 02:14:52 | INFO | 🔴 EXIT       | AOS             | $     60.44 | Below 40W EMA
2026-07-11 02:14:54 | INFO | 🔴 EXIT       | ABT             | $     93.93 | Below 40W EMA
2026-07-11 02:14:56 | INFO | 🟢 HOLD_ADD   | ABBV            | $    248.08 | Above all weekly EMAs
2026-07-11 02:14:59 | INFO | 🔴 EXIT       | ACN             | $    135.23 | Below 40W EMA
2026-07-11 02:15:01 | INFO | 🔴 EXIT       | ADBE            | $    223.64 | Below 40W EMA
2026-07-11 02:15:03 | INFO | 🟢 HOLD_ADD   | AMD             | $    557.89 | Above all weekly EMAs
2026-07-11 02:15:05 | INFO | 🟢 HOLD_ADD   | AES             | $     14.78 | Above all weekly EMAs
2026-07-11 02:15:07 | INFO | 🟢 HOLD_ADD   | AFL             | $    121.91 | Above all weekly EMAs
2026-07-11 02:15:10 | INFO | 🟡 WAIT       | A               | $    134.29 | EMAs converging, no breakout yet
2026-07-11 02:15:12 | INFO | 🟢 HOLD_ADD   | APD             | $    299.53 | Above all weekly EMAs
2026-07-11 02:15:14 | INFO | 🟢 HOLD_ADD   | ABNB            | $    148.62 | Above all weekly EMAs
2026-07-11 02:15:16 | INFO | 🟢 HOLD_ADD   | AKAM            | $    126.19 | Above all weekly EMAs
2026-07-11 02:15:18 | INFO | 🔴 EXIT       | ALB             | $    126.05 | Below 40W EMA
2026-07-11 02:15:21 | INFO | 🔴 EXIT       | ARE             | $     47.88 | Below 40W EMA
2026-07-11 02:15:23 | INFO | 🟡 WAIT       | ALGN            | $    179.45 | EMAs converging, no breakout yet
2026-07-11 02:15:25 | INFO | 🔴 EXIT       | ALLE            | $    136.63 | Below 40W EMA
