2026-08-08 01:02:34 | INFO | Fetching NIFTY 500 stocks from NSE API
2026-08-08 01:02:34 | INFO | Fetching NIFTY 500 stocks list from NSE archives CSV: https://archives.nseindia.com/content/indices/ind_nifty500list.csv
2026-08-08 01:02:35 | INFO | NSE fetch success for NIFTY 500 from archives CSV: 500 symbols
2026-08-08 01:02:35 | INFO | NIFTY 500 source: NSE live list (500 stocks)
2026-08-08 01:02:37 | INFO | ✅ BULLISH    | 360ONE          | ₹   1168.10 | Resistance breakout with EMAs converging
2026-08-08 01:02:39 | INFO | 🟢 HOLD_ADD   | 3MINDIA         | ₹  36035.00 | Above all weekly EMAs
2026-08-08 01:02:41 | INFO | 🟢 HOLD_ADD   | ABB             | ₹   7600.00 | Above all weekly EMAs
2026-08-08 01:02:43 | INFO | 🔴 EXIT       | ACC             | ₹   1362.80 | Below 40W EMA
2026-08-08 01:02:46 | INFO | 🟢 HOLD_ADD   | ACMESOLAR       | ₹    368.60 | Above all weekly EMAs
2026-08-08 01:02:48 | INFO | 🟢 HOLD_ADD   | AIAENG          | ₹   4776.00 | Above all weekly EMAs
2026-08-08 01:02:50 | INFO | 🟡 WAIT       | APLAPOLLO       | ₹   1970.00 | EMAs converging, no breakout yet
2026-08-08 01:02:52 | INFO | 🟢 HOLD_ADD   | AUBANK          | ₹   1067.00 | Above all weekly EMAs
2026-08-08 01:02:54 | INFO | 🔴 EXIT       | AWL             | ₹    197.50 | Below 40W EMA
2026-08-08 01:02:56 | INFO | 🟢 HOLD_ADD   | AADHARHFC       | ₹    506.40 | Above all weekly EMAs
2026-08-08 01:02:58 | INFO | 🟢 HOLD_ADD   | AARTIIND        | ₹    502.10 | Above all weekly EMAs
2026-08-08 01:03:01 | INFO | 🟡 WAIT       | AAVAS           | ₹   1371.50 | EMAs converging, no breakout yet
2026-08-08 01:03:03 | INFO | 🟡 WAIT       | ABBOTINDIA      | ₹  27835.00 | EMAs converging, no breakout yet
2026-08-08 01:03:05 | INFO | 🟢 HOLD_ADD   | ACE             | ₹   1094.30 | Above all weekly EMAs
2026-08-08 01:03:07 | INFO | 🟢 HOLD_ADD   | ACUTAAS         | ₹   3297.90 | Above all weekly EMAs
2026-08-08 01:03:09 | INFO | 🟢 HOLD_ADD   | ADANIENSOL      | ₹   1630.10 | Above all weekly EMAs
2026-08-08 01:03:11 | INFO | 🟢 HOLD_ADD   | ADANIENT        | ₹   3020.00 | Above all weekly EMAs
2026-08-08 01:03:14 | INFO | 🟣 FADING     | ADANIGREEN      | ₹   1372.40 | Below 10W EMA - momentum fading
2026-08-08 01:03:16 | INFO | 🟠 CAUTIOUS   | ADANIPORTS      | ₹   1693.50 | Below 20W EMA
2026-08-08 01:03:18 | INFO | 🟣 FADING     | ADANIPOWER      | ₹    209.00 | Below 10W EMA - momentum fading
2026-08-08 01:03:20 | INFO | 🟠 CAUTIOUS   | ATGL            | ₹    657.55 | Below 20W EMA
2026-08-08 01:03:22 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    408.05 | Above all weekly EMAs
2026-08-08 01:03:24 | INFO | 🔴 EXIT       | ABFRL           | ₹     63.33 | Below 40W EMA
2026-08-08 01:03:26 | INFO | 🔴 EXIT       | ABLBL           | ₹     93.86 | Below 40W EMA
2026-08-08 01:03:28 | INFO | 🔴 EXIT       | ABREL           | ₹   1382.80 | Below 40W EMA
2026-08-08 01:03:31 | INFO | 🟣 FADING     | ABSLAMC         | ₹   1025.30 | Below 10W EMA - momentum fading
