2026-08-08 01:20:32 | INFO | Fetching S&P 500 stocks from Wikipedia
2026-08-08 01:20:32 | INFO | S&P 500 source: Wikipedia live list (503 stocks)
2026-08-08 01:20:34 | INFO | 🟢 HOLD_ADD   | MMM             | $    182.90 | Above all weekly EMAs
2026-08-08 01:20:37 | INFO | 🟢 HOLD_ADD   | AOS             | $     63.98 | Above all weekly EMAs
2026-08-08 01:20:39 | INFO | 🟢 HOLD_ADD   | ABT             | $    107.81 | Above all weekly EMAs
2026-08-08 01:20:41 | INFO | 🟢 HOLD_ADD   | ABBV            | $    246.04 | Above all weekly EMAs
2026-08-08 01:20:43 | INFO | 🔴 EXIT       | ACN             | $    175.72 | Below 40W EMA
2026-08-08 01:20:45 | INFO | 🔴 EXIT       | ADBE            | $    265.21 | Below 40W EMA
2026-08-08 01:20:47 | INFO | 🟣 FADING     | AMD             | $    483.36 | Below 10W EMA - momentum fading
2026-08-08 01:20:49 | INFO | 🟢 HOLD_ADD   | AES             | $     14.73 | Above all weekly EMAs
2026-08-08 01:20:52 | INFO | 🟢 HOLD_ADD   | AFL             | $    124.61 | Above all weekly EMAs
2026-08-08 01:20:54 | INFO | 🟢 HOLD_ADD   | A               | $    145.97 | Above all weekly EMAs
2026-08-08 01:20:56 | INFO | 🟢 HOLD_ADD   | APD             | $    303.44 | Above all weekly EMAs
2026-08-08 01:20:58 | INFO | 🟢 HOLD_ADD   | ABNB            | $    178.07 | Above all weekly EMAs
2026-08-08 01:21:00 | INFO | 🟠 CAUTIOUS   | AKAM            | $    110.54 | Below 20W EMA
2026-08-08 01:21:03 | INFO | 🔴 EXIT       | ALB             | $    131.11 | Below 40W EMA
2026-08-08 01:21:05 | INFO | 🔴 EXIT       | ARE             | $     49.74 | Below 40W EMA
2026-08-08 01:21:07 | INFO | 🟡 WAIT       | ALGN            | $    173.66 | EMAs converging, no breakout yet
2026-08-08 01:21:09 | INFO | ✅ BULLISH    | ALLE            | $    168.94 | Resistance breakout with EMAs converging
2026-08-08 01:21:11 | INFO | 🔴 EXIT       | LNT             | $     69.37 | Below 40W EMA
2026-08-08 01:21:13 | INFO | 🟢 HOLD_ADD   | ALL             | $    267.00 | Above all weekly EMAs
2026-08-08 01:21:16 | INFO | 🟢 HOLD_ADD   | GOOGL           | $    354.30 | Above all weekly EMAs
2026-08-08 01:21:18 | INFO | 🟢 HOLD_ADD   | GOOG            | $    353.47 | Above all weekly EMAs
2026-08-08 01:21:20 | INFO | 🟠 CAUTIOUS   | MO              | $     68.35 | Below 20W EMA
2026-08-08 01:21:22 | INFO | 🟢 HOLD_ADD   | AMZN            | $    274.48 | Above all weekly EMAs
2026-08-08 01:21:24 | INFO | 🟢 HOLD_ADD   | AMCR            | $     47.86 | Above all weekly EMAs
2026-08-08 01:21:26 | INFO | 🟠 CAUTIOUS   | AEE             | $    108.84 | Below 20W EMA
2026-08-08 01:21:29 | INFO | 🟠 CAUTIOUS   | AEP             | $    125.73 | Below 20W EMA
2026-08-08 01:21:31 | INFO | 🟡 WAIT       | AXP             | $    340.91 | EMAs converging, no breakout yet
2026-08-08 01:21:33 | INFO | 🟡 WAIT       | AIG             | $     78.78 | EMAs converging, no breakout yet
2026-08-08 01:21:35 | INFO | 🟡 WAIT       | AMT             | $    172.54 | EMAs converging, no breakout yet
2026-08-08 01:21:38 | INFO | 🟡 WAIT       | AWK             | $    135.31 | EMAs converging, no breakout yet
2026-08-08 01:21:40 | INFO | 🟢 HOLD_ADD   | AMP             | $    551.98 | Above all weekly EMAs
2026-08-08 01:21:42 | INFO | 🟢 HOLD_ADD   | AME             | $    253.66 | Above all weekly EMAs
2026-08-08 01:21:44 | INFO | 🟢 HOLD_ADD   | AMGN            | $    410.95 | Above all weekly EMAs
2026-08-08 01:21:46 | INFO | 🟢 HOLD_ADD   | APH             | $    169.18 | Above all weekly EMAs
2026-08-08 01:21:48 | INFO | 🟢 HOLD_ADD   | ADI             | $    389.93 | Above all weekly EMAs
2026-08-08 01:21:51 | INFO | 🟡 WAIT       | AON             | $    358.30 | EMAs converging, no breakout yet
2026-08-08 01:21:53 | INFO | 🟢 HOLD_ADD   | APA             | $     37.63 | Above all weekly EMAs
2026-08-08 01:21:55 | INFO | 🟡 WAIT       | APO             | $    127.44 | EMAs converging, no breakout yet
2026-08-08 01:21:57 | INFO | 🟢 HOLD_ADD   | AAPL            | $    313.33 | Above all weekly EMAs
2026-08-08 01:21:59 | INFO | 🟢 HOLD_ADD   | AMAT            | $    539.14 | Above all weekly EMAs
2026-08-08 01:22:01 | INFO | 🔴 EXIT       | APP             | $    346.80 | Below 40W EMA
2026-08-08 01:22:04 | INFO | 🔴 EXIT       | APTV            | $     49.55 | Below 40W EMA
2026-08-08 01:22:06 | INFO | 🟣 FADING     | ACGL            | $     98.48 | Below 10W EMA - momentum fading
2026-08-08 01:22:08 | INFO | 🟠 CAUTIOUS   | ADM             | $     76.59 | Below 20W EMA
2026-08-08 01:22:10 | INFO | 🟢 HOLD_ADD   | ARES            | $    136.85 | Above all weekly EMAs
2026-08-08 01:22:12 | INFO | 🟢 HOLD_ADD   | ANET            | $    188.67 | Above all weekly EMAs
2026-08-08 01:22:14 | INFO | 🟡 WAIT       | AJG             | $    248.12 | EMAs converging, no breakout yet
2026-08-08 01:22:17 | INFO | 🟢 HOLD_ADD   | AIZ             | $    289.55 | Above all weekly EMAs
2026-08-08 01:22:19 | INFO | 🔴 EXIT       | T               | $     23.79 | Below 40W EMA
2026-08-08 01:22:21 | INFO | 🟡 WAIT       | ATO             | $    170.19 | EMAs converging, no breakout yet
2026-08-08 01:22:23 | INFO | 🟢 HOLD_ADD   | ADSK            | $    249.08 | Above all weekly EMAs
2026-08-08 01:22:25 | INFO | 🟢 HOLD_ADD   | ADP             | $    271.32 | Above all weekly EMAs
2026-08-08 01:22:27 | INFO | 🔴 EXIT       | AZO             | $   3127.29 | Below 40W EMA
2026-08-08 01:22:30 | INFO | 🟡 WAIT       | AVB             | $    187.55 | EMAs converging, no breakout yet
2026-08-08 01:22:32 | INFO | 🟡 WAIT       | AVY             | $    177.18 | EMAs converging, no breakout yet
2026-08-08 01:22:34 | INFO | 🟢 HOLD_ADD   | AXON            | $    571.01 | Above all weekly EMAs
2026-08-08 01:22:36 | INFO | 🟢 HOLD_ADD   | BKR             | $     61.55 | Above all weekly EMAs
2026-08-08 01:22:38 | INFO | 🟢 HOLD_ADD   | BALL            | $     63.45 | Above all weekly EMAs
2026-08-08 01:22:41 | INFO | 🟢 HOLD_ADD   | BAC             | $     63.17 | Above all weekly EMAs
2026-08-08 01:22:43 | INFO | 🟢 HOLD_ADD   | BAX             | $     27.55 | Above all weekly EMAs
2026-08-08 01:22:45 | INFO | ✅ BULLISH    | BDX             | $    176.86 | Resistance breakout with EMAs converging
2026-08-08 01:22:47 | INFO | ✅ BULLISH    | BRK-B           | $    521.80 | Resistance breakout with EMAs converging
2026-08-08 01:22:49 | INFO | 🟢 HOLD_ADD   | BBY             | $     82.00 | Above all weekly EMAs
2026-08-08 01:22:51 | INFO | 🟢 HOLD_ADD   | TECH            | $     72.29 | Above all weekly EMAs
2026-08-08 01:22:54 | INFO | 🟢 HOLD_ADD   | BIIB            | $    207.94 | Above all weekly EMAs
2026-08-08 01:22:56 | INFO | ✅ BULLISH    | BLK             | $   1136.39 | Resistance breakout with EMAs converging
