2026-02-21 16:52:18 | INFO | Fetching NIFTY 100 stocks from NSE API
2026-02-21 16:52:18 | INFO | NSE fetch start for NIFTY 100
2026-02-21 16:52:19 | INFO | NSE fetch success for NIFTY 100: 101 symbols
2026-02-21 16:52:19 | INFO | NIFTY 100 source: NSE live list (101 stocks)
2026-02-21 16:52:19 | INFO | Fetching NIFTY MIDCAP 150 stocks from NSE API
2026-02-21 16:52:19 | INFO | NSE fetch start for NIFTY MIDCAP 150
2026-02-21 16:52:21 | INFO | NSE fetch success for NIFTY MIDCAP 150: 150 symbols
2026-02-21 16:52:21 | INFO | NIFTY MIDCAP 150 source: NSE live list (150 stocks)
2026-02-21 16:52:23 | INFO | ✅ BULLISH    | ABB             | ₹   5987.00 | Resistance breakout with EMAs converging
2026-02-21 16:52:25 | INFO | 🟡 WAIT       | HYUNDAI         | ₹   2293.40 | EMAs converging, no breakout yet
2026-02-21 16:52:27 | INFO | 🟢 HOLD_ADD   | HINDALCO        | ₹    935.70 | Above all weekly EMAs
2026-02-21 16:52:29 | INFO | 🟢 HOLD_ADD   | CANBK           | ₹    154.15 | Above all weekly EMAs
2026-02-21 16:52:32 | INFO | 🔴 EXIT       | JSWENERGY       | ₹    493.95 | Below 40W EMA
2026-02-21 16:52:34 | INFO | 🟢 HOLD_ADD   | PNB             | ₹    129.59 | Above all weekly EMAs
2026-02-21 16:52:36 | INFO | 🟡 WAIT       | SIEMENS         | ₹   3206.20 | EMAs converging, no breakout yet
2026-02-21 16:52:38 | INFO | 🟢 HOLD_ADD   | NTPC            | ₹    372.95 | Above all weekly EMAs
2026-02-21 16:52:40 | INFO | 🟢 HOLD_ADD   | LT              | ₹   4380.60 | Above all weekly EMAs
2026-02-21 16:52:42 | INFO | 🟡 WAIT       | CGPOWER         | ₹    712.15 | EMAs converging, no breakout yet
2026-02-21 16:52:44 | INFO | 🟡 WAIT       | TATAPOWER       | ₹    378.00 | EMAs converging, no breakout yet
2026-02-21 16:52:46 | INFO | 🟢 HOLD_ADD   | ADANIPOWER      | ₹    142.70 | Above all weekly EMAs
2026-02-21 16:52:49 | INFO | 🟢 HOLD_ADD   | SBILIFE         | ₹   2080.00 | Above all weekly EMAs
2026-02-21 16:52:51 | INFO | 🟡 WAIT       | HINDUNILVR      | ₹   2314.50 | EMAs converging, no breakout yet
2026-02-21 16:52:53 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    423.55 | Above all weekly EMAs
2026-02-21 16:52:55 | INFO | 🟢 HOLD_ADD   | BANKBARODA      | ₹    309.05 | Above all weekly EMAs
2026-02-21 16:52:57 | INFO | ✅ BULLISH    | POWERGRID       | ₹    298.95 | Resistance breakout with EMAs converging
2026-02-21 16:52:59 | INFO | 🟡 WAIT       | GODREJCP        | ₹   1205.90 | EMAs converging, no breakout yet
2026-02-21 16:53:01 | INFO | 🔴 EXIT       | DLF             | ₹    629.30 | Below 40W EMA
