2026-03-21 01:19:08 | INFO | Fetching NIFTY 100 stocks from NSE API
2026-03-21 01:19:08 | INFO | NSE fetch start for NIFTY 100
2026-03-21 01:19:08 | WARNING | NSE homepage cookie request returned status 403 for NIFTY 100
2026-03-21 01:19:10 | INFO | NSE fetch success for NIFTY 100: 100 symbols
2026-03-21 01:19:10 | INFO | NIFTY 100 source: NSE live list (100 stocks)
2026-03-21 01:19:10 | INFO | Fetching NIFTY MIDCAP 150 stocks from NSE API
2026-03-21 01:19:10 | INFO | NSE fetch start for NIFTY MIDCAP 150
2026-03-21 01:19:10 | WARNING | NSE homepage cookie request returned status 403 for NIFTY MIDCAP 150
2026-03-21 01:19:11 | INFO | NSE fetch success for NIFTY MIDCAP 150: 150 symbols
2026-03-21 01:19:11 | INFO | NIFTY MIDCAP 150 source: NSE live list (150 stocks)
2026-03-21 01:19:13 | INFO | 🔴 EXIT       | HDFCBANK        | ₹    780.45 | Below 40W EMA
2026-03-21 01:19:16 | INFO | 🔴 EXIT       | INFY            | ₹   1255.90 | Below 40W EMA
2026-03-21 01:19:18 | INFO | 🟡 WAIT       | RELIANCE        | ₹   1414.40 | EMAs converging, no breakout yet
2026-03-21 01:19:20 | INFO | 🟣 FADING     | SHRIRAMFIN      | ₹    938.60 | Below 10W EMA - momentum fading
2026-03-21 01:19:22 | INFO | 🔴 EXIT       | ICICIBANK       | ₹   1245.40 | Broke support with EMAs converging
2026-03-21 01:19:24 | INFO | 🟣 FADING     | SBIN            | ₹   1058.00 | Below 10W EMA - momentum fading
2026-03-21 01:19:26 | INFO | 🔴 EXIT       | ITC             | ₹    299.95 | Below 40W EMA
2026-03-21 01:19:29 | INFO | 🟢 HOLD_ADD   | VEDL            | ₹    672.20 | Above all weekly EMAs
2026-03-21 01:19:31 | INFO | 🔴 EXIT       | LT              | ₹   3434.80 | Broke support with EMAs converging
2026-03-21 01:19:33 | INFO | 🔴 EXIT       | BHARTIARTL      | ₹   1846.10 | Broke support with EMAs converging
2026-03-21 01:19:35 | INFO | 🔴 EXIT       | M&M             | ₹   3066.10 | Broke support with EMAs converging
2026-03-21 01:19:37 | INFO | 🔴 EXIT       | ETERNAL         | ₹    232.29 | Below 40W EMA
2026-03-21 01:19:39 | INFO | 🔴 EXIT       | BAJFINANCE      | ₹    830.55 | Broke support with EMAs converging
2026-03-21 01:19:41 | INFO | 🟢 HOLD_ADD   | COALINDIA       | ₹    468.15 | Above all weekly EMAs
2026-03-21 01:19:43 | INFO | 🟡 WAIT       | TATAPOWER       | ₹    402.40 | EMAs converging, no breakout yet
2026-03-21 01:19:46 | INFO | 🔴 EXIT       | TCS             | ₹   2390.60 | Below 40W EMA
2026-03-21 01:19:48 | INFO | 🟢 HOLD_ADD   | TATASTEEL       | ₹    196.77 | Above all weekly EMAs
2026-03-21 01:19:50 | INFO | 🔴 EXIT       | MARUTI          | ₹  12601.00 | Below 40W EMA
